obs,time,deployment,conductivity,ctd_time,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temperature,ctdmo_seawater_pressure,ctdmo_seawater_temperature,ctdmo_seawater_conductivity,practical_salinity,density,ctdmo_seawater_pressure_qc_executed,ctdmo_seawater_pressure_qc_results,ctdmo_seawater_temperature_qc_executed,ctdmo_seawater_temperature_qc_results,ctdmo_seawater_conductivity_qc_executed,ctdmo_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3619363951.0,1,374596,463690351,3718174886.69,3718174889.45,3619363951.0,0.0,internal_timestamp,15589,136205,802.081235756,3.6205,3.24596,34.8614856256,1031.42898472,29,29,29,29,29,29,29,29,29,29,59.9337,-39.47378
1,3619364401.0,1,374875,463690801,3718174886.69,3718174889.45,3619364401.0,0.0,internal_timestamp,13229,137165,654.240474135,3.7165,3.24875,34.870355605,1030.74535217,29,29,29,29,29,29,29,29,29,29,59.9337,-39.47378
2,3619364851.0,1,374705,463691251,3718174886.69,3718174889.45,3619364851.0,0.0,internal_timestamp,16350,136075,849.75361694,3.6075,3.24705,34.8634401944,1031.6507314,29,29,29,29,29,29,29,29,29,29,59.9337,-39.47378
3,3619365301.0,1,377355,463691701,3718174886.69,3718174889.45,3619365301.0,0.0,internal_timestamp,20019,137539,1079.59588575,3.7539,3.27355,34.9051571017,1032.71600309,29,29,29,29,29,13,29,29,29,29,59.9337,-39.47378
4,3619365751.0,1,377782,463692151,3718174886.69,3718174889.45,3619365751.0,0.0,internal_timestamp,23179,136917,1277.55215978,3.6917,3.27782,34.921408822,1033.63738576,29,29,29,29,29,13,29,29,29,29,59.9337,-39.47378
5,3619366201.0,1,377733,463692601,3718174886.69,3718174889.45,3619366201.0,0.0,internal_timestamp,25458,136129,1420.31872577,3.6129,3.27733,34.9274791783,1034.29998529,29,29,29,29,29,13,29,29,29,29,59.9337,-39.47378
6,3619366651.0,1,377415,463693051,3718174886.69,3718174889.45,3619366651.0,0.0,internal_timestamp,26441,135497,1481.89816165,3.5497,3.27415,34.9259289676,1034.58602941,29,29,29,29,29,13,29,29,29,29,59.9337,-39.47378
7,3619367101.0,1,377346,463693501,3718174886.69,3718174889.45,3619367101.0,0.0,internal_timestamp,26756,135333,1501.63114466,3.5333,3.27346,34.9252849956,1034.67700642,29,29,29,29,29,13,29,29,29,29,59.9337,-39.47378
8,3619367551.0,1,377271,463693951,3718174886.69,3718174889.45,3619367551.0,0.0,internal_timestamp,26863,135223,1508.33409445,3.5223,3.27271,34.9246828743,1034.70834075,29,29,29,29,29,13,29,29,29,29,59.9337,-39.47378
9,3619368001.0,1,377251,463694401,3718174886.7,3718174889.45,3619368001.0,0.0,internal_timestamp,26929,135182,1512.46862422,3.5182,3.27251,34.9245929197,1034.7275236,29,29,29,29,29,13,29,29,29,29,59.9337,-39.47378
