obs,time,deployment,conductivity,ctd_time,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temperature,ctdmo_seawater_pressure,ctdmo_seawater_temperature,ctdmo_seawater_conductivity,practical_salinity,density,ctdmo_seawater_pressure_qc_executed,ctdmo_seawater_pressure_qc_results,ctdmo_seawater_temperature_qc_executed,ctdmo_seawater_temperature_qc_results,ctdmo_seawater_conductivity_qc_executed,ctdmo_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3682022401.0,3,378709,526348801,3718311390.24,3718311390.24,3682022401.0,0.0,internal_timestamp,26822,136747,1505.76567444,3.6747,3.28709,34.9355103184,1034.68440881,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
1,3682022851.0,3,378713,526349251,3718311390.24,3718311390.24,3682022851.0,0.0,internal_timestamp,26825,136758,1505.95360761,3.6758,3.28713,34.9347304559,1034.68449474,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
2,3682023301.0,3,378725,526349701,3718311390.24,3718311390.24,3682023301.0,0.0,internal_timestamp,26784,136771,1503.3851876,3.6771,3.28725,34.9360469176,1034.67374327,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
3,3682023751.0,3,378813,526350151,3718311390.24,3718311390.24,3682023751.0,0.0,internal_timestamp,26772,136869,1502.63345491,3.6869,3.28813,34.9364922979,1034.66934914,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
4,3682024201.0,3,378803,526350601,3718311390.24,3718311390.24,3682024201.0,0.0,internal_timestamp,26759,136862,1501.81907784,3.6862,3.28803,34.9364495669,1034.66573182,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
5,3682024651.0,3,378493,526351051,3718311390.24,3718311390.24,3682024651.0,0.0,internal_timestamp,26710,136581,1498.7495027,3.6581,3.28493,34.9309216784,1034.65137698,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
6,3682025101.0,3,378467,526351501,3718311390.24,3718311390.25,3682025101.0,0.0,internal_timestamp,26700,136569,1498.1230588,3.6569,3.28467,34.9294189891,1034.64753036,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
7,3682025551.0,3,378438,526351951,3718311390.24,3718311390.25,3682025551.0,0.0,internal_timestamp,26686,136527,1497.24603733,3.6527,3.28438,34.9308505483,1034.64526541,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
8,3682026001.0,3,378547,526352401,3718311390.24,3718311390.25,3682026001.0,0.0,internal_timestamp,26672,136631,1496.36901586,3.6631,3.28547,34.9332150708,1034.64173251,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
9,3682026451.0,3,378432,526352851,3718311390.24,3718311390.25,3682026451.0,0.0,internal_timestamp,26660,136534,1495.61728318,3.6534,3.28432,34.9302062997,1034.63730154,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
10,3682026901.0,3,378615,526353301,3718311390.24,3718311390.25,3682026901.0,0.0,internal_timestamp,26658,136719,1495.49199439,3.6719,3.28615,34.932412637,1034.63593211,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
11,3682027351.0,3,378591,526353751,3718311390.24,3718311390.25,3682027351.0,0.0,internal_timestamp,26625,136713,1493.42472951,3.6713,3.28591,34.9312263102,1034.62573924,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
12,3682027801.0,3,378540,526354201,3718311390.24,3718311390.25,3682027801.0,0.0,internal_timestamp,26638,136656,1494.23910658,3.6656,3.2854,34.9308008864,1034.62986751,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
13,3682028251.0,3,378464,526354651,3718311390.24,3718311390.25,3682028251.0,0.0,internal_timestamp,26621,136581,1493.17415195,3.6581,3.28464,34.9302432238,1034.62564325,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
14,3682028701.0,3,378403,526355101,3718311390.24,3718311390.25,3682028701.0,0.0,internal_timestamp,26620,136514,1493.11150755,3.6514,3.28403,34.9301213885,1034.6261816,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
15,3682029151.0,3,378301,526355551,3718311390.24,3718311390.25,3682029151.0,0.0,internal_timestamp,26606,136430,1492.23448609,3.643,3.28301,34.9273395643,1034.62118201,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
16,3682029601.0,3,378311,526356001,3718311390.24,3718311390.25,3682029601.0,0.0,internal_timestamp,26609,136434,1492.42241926,3.6434,3.28311,34.928008977,1034.62250247,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
17,3682030051.0,3,378304,526356451,3718311390.25,3718311390.26,3682030051.0,0.0,internal_timestamp,26608,136436,1492.35977487,3.6436,3.28304,34.926999704,1034.62139955,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
18,3682030501.0,3,378288,526356901,3718311390.25,3718311390.26,3682030501.0,0.0,internal_timestamp,26594,136425,1491.4827534,3.6425,3.28288,34.9266991288,1034.61734908,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
19,3682030951.0,3,378445,526357351,3718311390.25,3718311390.25,3682030951.0,0.0,internal_timestamp,26562,136584,1489.4781329,3.6584,3.28445,34.9295040485,1034.60831388,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
20,3682031401.0,3,378411,526357801,3718311390.25,3718311390.25,3682031401.0,0.0,internal_timestamp,26536,136552,1487.84937875,3.6552,3.28411,34.929660322,1034.60151102,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
21,3682031851.0,3,378415,526358251,3718311390.25,3718311390.25,3682031851.0,0.0,internal_timestamp,26496,136566,1485.34360313,3.6566,3.28415,34.9298958074,1034.59017572,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
22,3682032301.0,3,378387,526358701,3718311390.25,3718311390.26,3682032301.0,0.0,internal_timestamp,26500,136530,1485.59418069,3.653,3.28387,34.9302553908,1034.5920831,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
23,3682032751.0,3,378366,526359151,3718311390.25,3718311390.26,3682032751.0,0.0,internal_timestamp,26481,136518,1484.40393727,3.6518,3.28366,34.929623626,1034.58636967,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
24,3682033201.0,3,378364,526359601,3718311390.25,3718311390.26,3682033201.0,0.0,internal_timestamp,26487,136513,1484.77980362,3.6513,3.28364,34.9297285325,1034.58821978,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
25,3682033651.0,3,378375,526360051,3718311390.25,3718311390.26,3682033651.0,0.0,internal_timestamp,26450,136541,1482.46196117,3.6541,3.28375,34.9292228012,1034.57696019,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
