obs,time,deployment,conductivity,ctd_time,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temperature,ctdmo_seawater_pressure,ctdmo_seawater_temperature,ctdmo_seawater_conductivity,practical_salinity,density,ctdmo_seawater_pressure_qc_executed,ctdmo_seawater_pressure_qc_results,ctdmo_seawater_temperature_qc_executed,ctdmo_seawater_temperature_qc_results,ctdmo_seawater_conductivity_qc_executed,ctdmo_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3658382551.0,2,378027,502708951,3718258053.88,3718258053.96,3658382551.0,0.0,internal_timestamp,26785,135982,1503.44783199,3.5982,3.28027,34.9366236809,1034.68528608,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
1,3658383001.0,2,377984,502709401,3718258053.88,3718258053.96,3658383001.0,0.0,internal_timestamp,26792,135931,1503.88634272,3.5931,3.27984,34.936695009,1034.68802082,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
2,3658383451.0,2,378021,502709851,3718258053.88,3718258053.96,3658383451.0,0.0,internal_timestamp,26810,135973,1505.01394175,3.5973,3.28021,34.9360880372,1034.69206834,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
3,3658383901.0,2,377945,502710301,3718258053.88,3718258053.96,3658383901.0,0.0,internal_timestamp,26802,135896,1504.51278663,3.5896,3.27945,34.9354570955,1034.6903587,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
4,3658384351.0,2,378001,502710751,3718258053.88,3718258053.96,3658384351.0,0.0,internal_timestamp,26804,135960,1504.63807541,3.596,3.28001,34.9352755319,1034.68990881,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
5,3658384801.0,2,377937,502711201,3718258053.88,3718258053.96,3658384801.0,0.0,internal_timestamp,26776,135907,1502.88403248,3.5907,3.27937,34.9341521606,1034.68182055,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
6,3658385251.0,2,377958,502711651,3718258053.88,3718258053.96,3658385251.0,0.0,internal_timestamp,26776,135922,1502.88403248,3.5922,3.27958,34.9350582005,1034.68232722,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
7,3658385701.0,2,377991,502712101,3718258053.88,3718258053.96,3658385701.0,0.0,internal_timestamp,26777,135961,1502.94667687,3.5961,3.27991,34.9348209001,1034.68189178,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
8,3658386151.0,2,377953,502712551,3718258053.88,3718258053.96,3658386151.0,0.0,internal_timestamp,26772,135930,1502.63345491,3.593,3.27953,34.9337440601,1034.6800534,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
9,3658386601.0,2,377854,502713001,3718258053.88,3718258053.96,3658386601.0,0.0,internal_timestamp,26780,135824,1503.13461004,3.5824,3.27854,34.9329516285,1034.68314307,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
