obs,time,deployment,conductivity,ctd_time,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temperature,ctdmo_seawater_pressure,ctdmo_seawater_temperature,ctdmo_seawater_conductivity,practical_salinity,density,ctdmo_seawater_pressure_qc_executed,ctdmo_seawater_pressure_qc_results,ctdmo_seawater_temperature_qc_executed,ctdmo_seawater_temperature_qc_results,ctdmo_seawater_conductivity_qc_executed,ctdmo_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3650572801.0,2,378615,494899201,3718257694.44,3718257694.45,3650572801.0,0.0,internal_timestamp,26823,136621,1505.82831883,3.6621,3.28615,34.9376479266,1034.68810039,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
1,3650573251.0,2,378609,494899651,3718257694.44,3718257694.45,3650573251.0,0.0,internal_timestamp,26795,136630,1504.0742759,3.663,3.28609,34.9368541127,1034.67942708,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
2,3650573701.0,2,378645,494900101,3718257694.44,3718257694.45,3650573701.0,0.0,internal_timestamp,26811,136664,1505.07658614,3.6664,3.28645,34.9370329362,1034.6836302,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
3,3650574151.0,2,378661,494900551,3718257694.44,3718257694.45,3650574151.0,0.0,internal_timestamp,26799,136684,1504.32485346,3.6684,3.28661,34.9371876529,1034.68007994,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
4,3650574601.0,2,378633,494901001,3718257694.44,3718257694.45,3650574601.0,0.0,internal_timestamp,26764,136664,1502.13229979,3.6664,3.28633,34.9370664726,1034.67035094,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
5,3650575051.0,2,378649,494901451,3718257694.44,3718257694.45,3650575051.0,0.0,internal_timestamp,26758,136685,1501.75643345,3.6685,3.28649,34.9369301074,1034.66825703,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
6,3650575501.0,2,378649,494901901,3718257694.44,3718257694.45,3650575501.0,0.0,internal_timestamp,26745,136691,1500.94205637,3.6691,3.28649,34.9366992116,1034.66431304,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
7,3650575951.0,2,378653,494902351,3718257694.44,3718257694.45,3650575951.0,0.0,internal_timestamp,26739,136693,1500.56619003,3.6693,3.28653,34.9371472847,1034.66293865,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
8,3650576401.0,2,378665,494902801,3718257694.44,3718257694.45,3650576401.0,0.0,internal_timestamp,26711,136721,1498.81214709,3.6721,3.28665,34.9364795446,1034.65410304,29,29,29,29,29,13,29,13,29,29,59.94358,-39.57372
9,3650576851.0,2,378665,494903251,3718257694.44,3718257694.45,3650576851.0,0.0,internal_timestamp,26732,136718,1500.12767929,3.6718,3.28665,34.9361463223,1034.65982804,29,29,29,29,29,13,29,13,29,29,59.94358,-39.57372
10,3650577301.0,2,378656,494903701,3718257694.45,3718257694.45,3650577301.0,0.0,internal_timestamp,26729,136705,1499.93974612,3.6705,3.28656,34.93654558,1034.65947053,29,29,29,29,29,13,29,13,29,29,59.94358,-39.57372
11,3650577751.0,2,378653,494904151,3718257694.45,3718257694.45,3650577751.0,0.0,internal_timestamp,26730,136700,1500.00239051,3.67,3.28653,34.9366871302,1034.65993337,29,29,29,29,29,13,29,13,29,29,59.94358,-39.57372
12,3650578201.0,2,378674,494904601,3718257694.45,3718257694.45,3650578201.0,0.0,internal_timestamp,26713,136741,1498.93743587,3.6741,3.28674,34.9353726487,1034.65352592,29,29,29,29,29,13,29,13,29,29,59.94358,-39.57372
13,3650578651.0,2,378641,494905051,3718257694.45,3718257694.45,3650578651.0,0.0,internal_timestamp,26706,136705,1498.49892514,3.6705,3.28641,34.9354818072,1034.65212377,29,29,29,29,29,13,29,13,29,29,59.94358,-39.57372
14,3650579101.0,2,378648,494905501,3718257694.45,3718257694.45,3650579101.0,0.0,internal_timestamp,26686,136717,1497.24603733,3.6717,3.28648,34.9356630821,1034.64643893,29,29,29,29,29,13,29,13,29,29,59.94358,-39.57372
15,3650579551.0,2,378630,494905951,3718257694.45,3718257694.45,3650579551.0,0.0,internal_timestamp,26700,136684,1498.1230588,3.6684,3.2863,34.9365813169,1034.6515762,29,29,29,29,29,13,29,13,29,29,59.94358,-39.57372
16,3650580001.0,2,378617,494906401,3718257694.45,3718257694.45,3650580001.0,0.0,internal_timestamp,26715,136666,1499.06272465,3.6666,3.28617,34.9364776542,1034.65598863,29,29,29,29,29,13,29,13,29,29,59.94358,-39.57372
17,3650580451.0,2,378619,494906851,3718257694.45,3718257694.45,3650580451.0,0.0,internal_timestamp,26682,136685,1496.99545977,3.6685,3.28619,34.9357307812,1034.64579846,29,29,29,29,29,13,29,13,29,29,59.94358,-39.57372
18,3650580901.0,2,378616,494907301,3718257694.45,3718257694.45,3650580901.0,0.0,internal_timestamp,26704,136670,1498.37363636,3.667,3.28616,34.9362776076,1034.65266233,29,29,29,29,29,13,29,13,29,29,59.94358,-39.57372
19,3650581351.0,2,378610,494907751,3718257694.45,3718257694.46,3650581351.0,0.0,internal_timestamp,26679,136671,1496.8075266,3.6671,3.2861,34.9362355767,1034.6455373,29,29,29,29,29,13,29,13,29,29,59.94358,-39.57372
20,3650581801.0,2,378602,494908201,3718257694.45,3718257694.46,3650581801.0,0.0,internal_timestamp,26677,136659,1496.68223781,3.6659,3.28602,34.9366167647,1034.6454348,29,29,29,29,29,13,29,13,29,29,59.94358,-39.57372
21,3650582251.0,2,378634,494908651,3718257694.45,3718257694.46,3650582251.0,0.0,internal_timestamp,26691,136694,1497.55925928,3.6694,3.28634,34.9362781211,1034.64865287,29,29,29,29,29,13,29,13,29,29,59.94358,-39.57372
22,3650582701.0,2,378627,494909101,3718257694.45,3718257694.46,3650582701.0,0.0,internal_timestamp,26679,136691,1496.8075266,3.6691,3.28627,34.9361374809,1034.64518603,29,29,29,29,29,13,29,13,29,29,59.94358,-39.57372
23,3650583151.0,2,378625,494909551,3718257694.45,3718257694.46,3650583151.0,0.0,internal_timestamp,26684,136684,1497.12074855,3.6684,3.28625,34.9364846391,1034.64697022,29,29,29,29,29,13,29,13,29,29,59.94358,-39.57372
24,3650583601.0,2,378556,494910001,3718257694.45,3718257694.46,3650583601.0,0.0,internal_timestamp,26685,136611,1497.18339294,3.6611,3.28556,34.93598875,1034.64786496,29,29,29,29,29,13,29,13,29,29,59.94358,-39.57372
25,3650584051.0,2,378455,494910451,3718257694.45,3718257694.46,3650584051.0,0.0,internal_timestamp,26664,136518,1495.86786074,3.6518,3.28455,34.9344947717,1034.64202,29,29,29,29,29,13,29,13,29,29,59.94358,-39.57372
26,3650584501.0,2,378463,494910901,3718257694.45,3718257694.46,3650584501.0,0.0,internal_timestamp,26659,136520,1495.55463878,3.652,3.28463,34.9353859133,1034.64127636,29,29,29,29,29,13,29,13,29,29,59.94358,-39.57372
27,3650584951.0,2,378472,494911351,3718257694.45,3718257694.46,3650584951.0,0.0,internal_timestamp,26697,136534,1497.93512562,3.6534,3.28472,34.9337974581,1034.65059769,29,29,29,29,29,13,29,13,29,29,59.94358,-39.57372
28,3650585401.0,2,378564,494911801,3718257694.45,3718257694.46,3650585401.0,0.0,internal_timestamp,26678,136626,1496.7448822,3.6626,3.28564,34.9355696029,1034.64534831,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
29,3650585851.0,2,378571,494912251,3718257694.45,3718257694.46,3650585851.0,0.0,internal_timestamp,26665,136633,1495.93050513,3.6633,3.28571,34.9360620534,1034.64195803,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
30,3650586301.0,2,378591,494912701,3718257694.45,3718257694.46,3650586301.0,0.0,internal_timestamp,26631,136664,1493.80059585,3.6664,3.28591,34.936210935,1034.63202286,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
31,3650586751.0,2,378632,494913151,3718257694.45,3718257694.46,3650586751.0,0.0,internal_timestamp,26642,136706,1494.48968415,3.6706,3.28632,34.9362917545,1034.63462525,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
32,3650587201.0,2,378632,494913601,3718257694.45,3718257694.46,3650587201.0,0.0,internal_timestamp,26617,136716,1492.92357438,3.6716,3.28632,34.9360104484,1034.62718857,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
33,3650587651.0,2,378650,494914051,3718257694.45,3718257694.46,3650587651.0,0.0,internal_timestamp,26601,136739,1491.92126413,3.6739,3.2865,34.9362093915,1034.62249898,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
34,3650588101.0,2,378649,494914501,3718257694.46,3718257694.47,3650588101.0,0.0,internal_timestamp,26579,136752,1490.54308754,3.6752,3.28649,34.9354004116,1034.6154562,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
35,3650588551.0,2,378649,494914951,3718257694.46,3718257694.47,3650588551.0,0.0,internal_timestamp,26582,136750,1490.73102071,3.675,3.28649,34.9355185632,1034.61642585,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
36,3650589001.0,2,378649,494915401,3718257694.46,3718257694.47,3650589001.0,0.0,internal_timestamp,26582,136751,1490.73102071,3.6751,3.28649,34.9354130477,1034.61632931,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
37,3650589451.0,2,378650,494915851,3718257694.46,3718257694.47,3650589451.0,0.0,internal_timestamp,26576,136758,1490.35515437,3.6758,3.2865,34.9349785636,1034.61419331,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
38,3650589901.0,2,378663,494916301,3718257694.46,3718257694.47,3650589901.0,0.0,internal_timestamp,26617,136761,1492.92357438,3.6761,3.28663,34.9349314432,1034.62572459,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
