obs,time,deployment,conductivity,ctd_time,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temperature,ctdmo_seawater_pressure,ctdmo_seawater_temperature,ctdmo_seawater_conductivity,practical_salinity,density,ctdmo_seawater_pressure_qc_executed,ctdmo_seawater_pressure_qc_results,ctdmo_seawater_temperature_qc_executed,ctdmo_seawater_temperature_qc_results,ctdmo_seawater_conductivity_qc_executed,ctdmo_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3669452101.0,2,377622,513778501,3718258289.1,3718258289.15,3669452101.0,0.0,internal_timestamp,26170,135791,1464.92153182,3.5791,3.27622,34.9278543724,1034.50674847,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
1,3669452551.0,2,377677,513778951,3718258289.1,3718258289.15,3669452551.0,0.0,internal_timestamp,26201,135833,1466.86350793,3.5833,3.27677,34.9289787082,1034.51584965,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
2,3669453001.0,2,377648,513779401,3718258289.1,3718258289.15,3669453001.0,0.0,internal_timestamp,26196,135798,1466.55028598,3.5798,3.27648,34.9293916547,1034.51523098,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
3,3669453451.0,2,377580,513779851,3718258289.1,3718258289.15,3669453451.0,0.0,internal_timestamp,26209,135719,1467.36466305,3.5719,3.2758,34.9292662492,1034.51988736,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
4,3669453901.0,2,377527,513780301,3718258289.1,3718258289.15,3669453901.0,0.0,internal_timestamp,26201,135669,1466.86350793,3.5669,3.27527,34.9285086612,1034.51770146,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
5,3669454351.0,2,377552,513780751,3718258289.1,3718258289.15,3669454351.0,0.0,internal_timestamp,26212,135692,1467.55259622,3.5692,3.27552,34.9287031019,1034.52066097,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
6,3669454801.0,2,377570,513781201,3718258289.1,3718258289.15,3669454801.0,0.0,internal_timestamp,26241,135705,1469.36928355,3.5705,3.2757,34.9285637167,1034.52859565,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
7,3669455251.0,2,377591,513781651,3718258289.1,3718258289.15,3669455251.0,0.0,internal_timestamp,26240,135724,1469.30663916,3.5724,3.27591,34.9290792941,1034.52845981,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
8,3669455701.0,2,377589,513782101,3718258289.1,3718258289.15,3669455701.0,0.0,internal_timestamp,26263,135717,1470.74746014,3.5717,3.27589,34.9288665237,1034.53490669,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
9,3669456151.0,2,377530,513782551,3718258289.1,3718258289.15,3669456151.0,0.0,internal_timestamp,26279,135654,1471.74977039,3.5654,3.2753,34.9280242655,1034.5396336,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
10,3669456601.0,2,377538,513783001,3718258289.11,3718258289.15,3669456601.0,0.0,internal_timestamp,26329,135649,1474.88198991,3.5649,3.27538,34.927947767,1034.5538129,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
