obs,time,deployment,conductivity,ctd_time,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temperature,ctdmo_seawater_pressure,ctdmo_seawater_temperature,ctdmo_seawater_conductivity,practical_salinity,density,ctdmo_seawater_pressure_qc_executed,ctdmo_seawater_pressure_qc_results,ctdmo_seawater_temperature_qc_executed,ctdmo_seawater_temperature_qc_results,ctdmo_seawater_conductivity_qc_executed,ctdmo_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3677184001.0,2,378694,521510401,3718258595.61,3718258595.64,3677184001.0,0.0,internal_timestamp,26934,136758,1512.78184618,3.6758,3.28694,34.9291129916,1034.71093831,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
1,3677184451.0,2,378703,521510851,3718258595.61,3718258595.64,3677184451.0,0.0,internal_timestamp,26932,136761,1512.6565574,3.6761,3.28703,34.9299233282,1034.71096697,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
2,3677184901.0,2,378733,521511301,3718258595.61,3718258595.64,3677184901.0,0.0,internal_timestamp,26929,136798,1512.46862422,3.6798,3.28733,34.929663372,1034.70940476,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
3,3677185351.0,2,378718,521511751,3718258595.62,3718258595.64,3677185351.0,0.0,internal_timestamp,26947,136779,1513.59622325,3.6779,3.28718,34.9293363025,1034.714504,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
4,3677185801.0,2,378731,521512201,3718258595.62,3718258595.64,3677185801.0,0.0,internal_timestamp,26951,136798,1513.84680082,3.6798,3.28731,34.9287470658,1034.71491213,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
5,3677186251.0,2,378702,521512651,3718258595.62,3718258595.64,3677186251.0,0.0,internal_timestamp,26945,136774,1513.47093447,3.6774,3.28702,34.928032275,1034.71298328,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
6,3677186701.0,2,378699,521513101,3718258595.62,3718258595.64,3677186701.0,0.0,internal_timestamp,26938,136767,1513.03242374,3.6767,3.28699,34.9286318246,1034.71156896,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
7,3677187151.0,2,378717,521513551,3718258595.62,3718258595.64,3677187151.0,0.0,internal_timestamp,26941,136792,1513.22035691,3.6792,3.28717,34.9280323426,1034.71160353,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
8,3677187601.0,2,378709,521514001,3718258595.62,3718258595.64,3677187601.0,0.0,internal_timestamp,26935,136785,1512.84449057,3.6785,3.28709,34.9280093909,1034.70998368,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
9,3677188051.0,2,378698,521514451,3718258595.62,3718258595.64,3677188051.0,0.0,internal_timestamp,26936,136775,1512.90713496,3.6775,3.28698,34.9277315851,1034.71018627,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
