obs,time,deployment,conductivity,ctd_time,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temperature,ctdmo_seawater_pressure,ctdmo_seawater_temperature,ctdmo_seawater_conductivity,practical_salinity,density,ctdmo_seawater_pressure_qc_executed,ctdmo_seawater_pressure_qc_results,ctdmo_seawater_temperature_qc_executed,ctdmo_seawater_temperature_qc_results,ctdmo_seawater_conductivity_qc_executed,ctdmo_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3650899951.0,2,378481,495226351,3718257754.19,3718257754.2,3650899951.0,0.0,internal_timestamp,26722,136524,1499.50123539,3.6524,3.28481,34.9351446811,1034.658871,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
1,3650900401.0,2,378368,495226801,3718257754.19,3718257754.2,3650900401.0,0.0,internal_timestamp,26707,136423,1498.56156953,3.6423,3.28368,34.9328864749,1034.65423424,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
2,3650900851.0,2,378296,495227251,3718257754.19,3718257754.2,3650900851.0,0.0,internal_timestamp,26735,136309,1500.31561246,3.6309,3.28296,34.9355244044,1034.66579406,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
3,3650901301.0,2,378278,495227701,3718257754.19,3718257754.2,3650901301.0,0.0,internal_timestamp,26742,136291,1500.7541232,3.6291,3.28278,34.9350752764,1034.66766993,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
4,3650901751.0,2,378317,495228151,3718257754.19,3718257754.19,3650901751.0,0.0,internal_timestamp,26729,136342,1499.93974612,3.6342,3.28317,34.9347142702,1034.66300748,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
5,3650902201.0,2,378382,495228601,3718257754.19,3718257754.19,3650902201.0,0.0,internal_timestamp,26739,136404,1500.56619003,3.6404,3.28382,34.9355595424,1034.66565397,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
6,3650902651.0,2,378467,495229051,3718257754.19,3718257754.19,3650902651.0,0.0,internal_timestamp,26730,136505,1500.00239051,3.6505,3.28467,34.9352444735,1034.66147484,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
7,3650903101.0,2,378500,495229501,3718257754.19,3718257754.2,3650903101.0,0.0,internal_timestamp,26718,136548,1499.25065783,3.6548,3.285,34.9349854062,1034.65728451,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
8,3650903551.0,2,378536,495229951,3718257754.19,3718257754.2,3650903551.0,0.0,internal_timestamp,26708,136598,1498.62421392,3.6598,3.28536,34.9342807893,1034.65321464,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
9,3650904001.0,2,378535,495230401,3718257754.19,3718257754.2,3650904001.0,0.0,internal_timestamp,26691,136580,1497.55925928,3.658,3.28535,34.9365882619,1034.65045933,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
10,3650904451.0,2,378463,495230851,3718257754.19,3718257754.2,3650904451.0,0.0,internal_timestamp,26673,136493,1496.43166025,3.6493,3.28463,34.9378023469,1034.64750742,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
11,3650904901.0,2,378359,495231301,3718257754.2,3718257754.21,3650904901.0,0.0,internal_timestamp,26659,136407,1495.55463878,3.6407,3.28359,34.9349960389,1034.64251695,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
12,3650905351.0,2,378276,495231751,3718257754.2,3718257754.21,3650905351.0,0.0,internal_timestamp,26656,136308,1495.36670561,3.6308,3.28276,34.9357077181,1034.64358002,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
13,3650905801.0,2,378203,495232201,3718257754.2,3718257754.21,3650905801.0,0.0,internal_timestamp,26655,136235,1495.30406122,3.6235,3.28203,34.934796285,1034.64357889,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
14,3650906251.0,2,378290,495232651,3718257754.2,3718257754.21,3650906251.0,0.0,internal_timestamp,26661,136341,1495.67992757,3.6341,3.2829,34.9337273912,1034.64299007,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
15,3650906701.0,2,378283,495233101,3718257754.2,3718257754.21,3650906701.0,0.0,internal_timestamp,26641,136326,1494.42703976,3.6326,3.28283,34.9351014062,1034.63860991,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
16,3650907151.0,2,378317,495233551,3718257754.2,3718257754.21,3650907151.0,0.0,internal_timestamp,26645,136366,1494.67761732,3.6366,3.28317,34.9347826003,1034.63894551,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
17,3650907601.0,2,378320,495234001,3718257754.2,3718257754.21,3650907601.0,0.0,internal_timestamp,26632,136378,1493.86324024,3.6378,3.2832,34.9342739093,1034.63470048,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
18,3650908051.0,2,378350,495234451,3718257754.2,3718257754.21,3650908051.0,0.0,internal_timestamp,26612,136415,1492.61035243,3.6415,3.2835,34.9345414387,1034.62874055,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
19,3650908501.0,2,378352,495234901,3718257754.2,3718257754.21,3650908501.0,0.0,internal_timestamp,26569,136424,1489.91664364,3.6424,3.28352,34.9351606739,1034.6169257,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
20,3650908951.0,2,378354,495235351,3718257754.21,3718257754.22,3650908951.0,0.0,internal_timestamp,26565,136429,1489.66606608,3.6429,3.28354,34.934993698,1034.61559339,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
21,3650909401.0,2,378369,495235801,3718257754.21,3718257754.22,3650909401.0,0.0,internal_timestamp,26582,136445,1490.73102071,3.6445,3.28369,34.9345546562,1034.61984456,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
22,3650909851.0,2,378410,495236251,3718257754.21,3718257754.22,3650909851.0,0.0,internal_timestamp,26553,136500,1488.91433339,3.65,3.2841,34.9345036303,1034.61083932,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
23,3650910301.0,2,378443,495236701,3718257754.21,3718257754.22,3650910301.0,0.0,internal_timestamp,26555,136534,1489.03962217,3.6534,3.28443,34.9347610777,1034.61114283,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
24,3650910751.0,2,378444,495237151,3718257754.21,3718257754.22,3650910751.0,0.0,internal_timestamp,26553,136535,1488.91433339,3.6535,3.28444,34.9348359182,1034.6106215,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
25,3650911201.0,2,378440,495237601,3718257754.21,3718257754.22,3650911201.0,0.0,internal_timestamp,26570,136523,1489.97928803,3.6523,3.2844,34.9351021536,1034.61580913,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
26,3650911651.0,2,378410,495238051,3718257754.21,3718257754.22,3650911651.0,0.0,internal_timestamp,26539,136504,1488.03731192,3.6504,3.2841,34.9345152088,1034.60682873,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
27,3650912101.0,2,378478,495238501,3718257754.2,3718257754.2,3650912101.0,0.0,internal_timestamp,26538,136584,1487.97466753,3.6584,3.28478,34.9341550772,1034.60516856,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
28,3650912551.0,2,378524,495238951,3718257754.2,3718257754.2,3650912551.0,0.0,internal_timestamp,26539,136635,1488.03731192,3.6635,3.28524,34.9341882589,1034.6047799,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
29,3650913001.0,2,378512,495239401,3718257754.2,3718257754.2,3650913001.0,0.0,internal_timestamp,26534,136625,1487.72408997,3.6625,3.28512,34.9339777035,1034.60333547,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
30,3650913451.0,2,378418,495239851,3718257754.2,3718257754.2,3650913451.0,0.0,internal_timestamp,26555,136500,1489.03962217,3.65,3.28418,34.935389172,1034.61210098,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
31,3650913901.0,2,378506,495240301,3718257754.2,3718257754.2,3650913901.0,0.0,internal_timestamp,26562,136606,1489.4781329,3.6606,3.28506,34.9344051714,1034.6118606,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
32,3650914351.0,2,378524,495240751,3718257754.2,3718257754.2,3650914351.0,0.0,internal_timestamp,26564,136626,1489.60342169,3.6626,3.28524,34.9343637195,1034.61212066,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
33,3650914801.0,2,378384,495241201,3718257754.2,3718257754.2,3650914801.0,0.0,internal_timestamp,26568,136478,1489.85399925,3.6478,3.28384,34.9332816477,1034.61442894,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
34,3650915251.0,2,378332,495241651,3718257754.2,3718257754.2,3650915251.0,0.0,internal_timestamp,26554,136409,1488.97697778,3.6409,3.28332,34.9348398715,1034.61263055,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
35,3650915701.0,2,378346,495242101,3718257754.21,3718257754.22,3650915701.0,0.0,internal_timestamp,26567,136420,1489.79135486,3.642,3.28346,34.9349341707,1034.61623611,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
36,3650916151.0,2,378373,495242551,3718257754.21,3718257754.22,3650916151.0,0.0,internal_timestamp,26567,136447,1489.79135486,3.6447,3.28373,34.9352821503,1034.61614021,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
37,3650916601.0,2,378382,495243001,3718257754.21,3718257754.22,3650916601.0,0.0,internal_timestamp,26564,136450,1489.60342169,3.645,3.28382,34.9361245002,1034.61591089,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
38,3650917051.0,2,378415,495243451,3718257754.21,3718257754.22,3650917051.0,0.0,internal_timestamp,26587,136475,1491.04424267,3.6475,3.28415,34.9366814213,1034.62252001,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
39,3650917501.0,2,378466,495243901,3718257754.21,3718257754.22,3650917501.0,0.0,internal_timestamp,26598,136530,1491.73333096,3.653,3.28466,34.9365749964,1034.6247991,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
40,3650917951.0,2,378418,495244351,3718257754.21,3718257754.22,3650917951.0,0.0,internal_timestamp,26600,136475,1491.85861974,3.6475,3.28418,34.9366339748,1034.62616434,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
41,3650918401.0,2,378369,495244801,3718257754.21,3718257754.22,3650918401.0,0.0,internal_timestamp,26589,136425,1491.16953145,3.6425,3.28369,34.9364491565,1034.62358786,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
42,3650918851.0,2,378442,495245251,3718257754.21,3718257754.22,3650918851.0,0.0,internal_timestamp,26612,136499,1492.61035243,3.6499,3.28442,34.9365712595,1034.62918504,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
