obs,time,deployment,conductivity,ctd_time,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temperature,ctdmo_seawater_pressure,ctdmo_seawater_temperature,ctdmo_seawater_conductivity,practical_salinity,density,ctdmo_seawater_pressure_qc_executed,ctdmo_seawater_pressure_qc_results,ctdmo_seawater_temperature_qc_executed,ctdmo_seawater_temperature_qc_results,ctdmo_seawater_conductivity_qc_executed,ctdmo_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3652992001.0,2,377398,497318401,3718257873.28,3718257873.36,3652992001.0,0.0,internal_timestamp,26502,135357,1485.71946947,3.5357,3.27398,34.9368170851,1034.61376544,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
1,3652992451.0,2,377396,497318851,3718257873.28,3718257873.36,3652992451.0,0.0,internal_timestamp,26507,135371,1486.03269143,3.5371,3.27396,34.9349433013,1034.61352107,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
2,3652992901.0,2,377453,497319301,3718257873.29,3718257873.36,3652992901.0,0.0,internal_timestamp,26474,135447,1483.96542654,3.5447,3.27453,34.9347027286,1034.60295018,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
3,3652993351.0,2,377491,497319751,3718257873.29,3718257873.36,3652993351.0,0.0,internal_timestamp,26473,135468,1483.90278215,3.5468,3.27491,34.9370263662,1034.60420713,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
4,3652993801.0,2,377598,497320201,3718257873.29,3718257873.36,3652993801.0,0.0,internal_timestamp,26465,135582,1483.40162702,3.5582,3.27598,34.9379266183,1034.60110116,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
5,3652994251.0,2,377679,497320651,3718257873.29,3718257873.36,3652994251.0,0.0,internal_timestamp,26440,135684,1481.83551726,3.5684,3.27679,34.9375356867,1034.59232563,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
6,3652994701.0,2,377769,497321101,3718257873.29,3718257873.36,3652994701.0,0.0,internal_timestamp,26397,135789,1479.14180847,3.5789,3.27769,34.9384542269,1034.57943653,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
7,3652995151.0,2,377789,497321551,3718257873.29,3718257873.36,3652995151.0,0.0,internal_timestamp,26374,135816,1477.70098749,3.5816,3.27789,34.9386883889,1034.57273619,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
8,3652995601.0,2,377823,497322001,3718257873.29,3718257873.36,3652995601.0,0.0,internal_timestamp,26378,135859,1477.95156505,3.5859,3.27823,34.9380534958,1034.57278713,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
9,3652996051.0,2,377854,497322451,3718257873.29,3718257873.36,3652996051.0,0.0,internal_timestamp,26391,135909,1478.76594213,3.5909,3.27854,34.9360432816,1034.57421288,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
10,3652996501.0,2,377899,497322901,3718257873.29,3718257873.37,3652996501.0,0.0,internal_timestamp,26296,135963,1472.81472503,3.5963,3.27899,34.9386266951,1034.54858781,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
11,3652996951.0,2,377901,497323351,3718257873.29,3718257873.37,3652996951.0,0.0,internal_timestamp,26280,135977,1471.81241478,3.5977,3.27901,34.9378816382,1034.54327835,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
12,3652997401.0,2,377853,497323801,3718257873.29,3718257873.37,3652997401.0,0.0,internal_timestamp,26261,135923,1470.62217136,3.5923,3.27853,34.9384848647,1034.53910069,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
13,3652997851.0,2,377808,497324251,3718257873.29,3718257873.37,3652997851.0,0.0,internal_timestamp,26256,135876,1470.30894941,3.5876,3.27808,34.9382687998,1034.53815171,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
14,3652998301.0,2,377769,497324701,3718257873.29,3718257873.37,3652998301.0,0.0,internal_timestamp,26254,135834,1470.18366063,3.5834,3.27769,34.9381426615,1034.5380555,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
15,3652998751.0,2,377752,497325151,3718257873.29,3718257873.37,3652998751.0,0.0,internal_timestamp,26220,135820,1468.05375135,3.582,3.27752,34.9386624979,1034.52901708,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
16,3652999201.0,2,377745,497325601,3718257873.29,3718257873.37,3652999201.0,0.0,internal_timestamp,26229,135816,1468.61755086,3.5816,3.27745,34.9379746936,1034.53108198,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
17,3652999651.0,2,377725,497326051,3718257873.29,3718257873.37,3652999651.0,0.0,internal_timestamp,26218,135797,1467.92846257,3.5797,3.27725,34.9379517562,1034.52820371,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
18,3653000101.0,2,377653,497326501,3718257873.31,3718257873.38,3653000101.0,0.0,internal_timestamp,26239,135717,1469.24399477,3.5717,3.27653,34.9372101107,1034.53465743,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
19,3653000551.0,2,377621,497326951,3718257873.31,3718257873.38,3653000551.0,0.0,internal_timestamp,26278,135665,1471.687126,3.5665,3.27621,34.9376960692,1034.54679772,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
