obs,time,deployment,conductivity,ctd_time,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temperature,ctdmo_seawater_pressure,ctdmo_seawater_temperature,ctdmo_seawater_conductivity,practical_salinity,density,ctdmo_seawater_pressure_qc_executed,ctdmo_seawater_pressure_qc_results,ctdmo_seawater_temperature_qc_executed,ctdmo_seawater_temperature_qc_results,ctdmo_seawater_conductivity_qc_executed,ctdmo_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3674764801.0,2,377949,519091201,3718258474.19,3718258474.2,3674764801.0,0.0,internal_timestamp,26138,136327,1462.91691133,3.6327,3.27949,34.9110191686,1034.47718504,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
1,3674765251.0,2,377939,519091651,3718258474.19,3718258474.2,3674765251.0,0.0,internal_timestamp,26133,136317,1462.60368937,3.6317,3.27939,34.9110447576,1034.475924,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
2,3674765701.0,2,377924,519092101,3718258474.19,3718258474.2,3674765701.0,0.0,internal_timestamp,26155,136300,1463.98186596,3.63,3.27924,34.9103782417,1034.48186645,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
3,3674766151.0,2,377988,519092551,3718258474.19,3718258474.2,3674766151.0,0.0,internal_timestamp,26223,136340,1468.24168452,3.634,3.27988,34.9116303289,1034.50157603,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
4,3674766601.0,2,377984,519093001,3718258474.19,3718258474.2,3674766601.0,0.0,internal_timestamp,26280,136321,1471.81241478,3.6321,3.27984,34.9113928018,1034.51779954,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
5,3674767051.0,2,377941,519093451,3718258474.19,3718258474.2,3674767051.0,0.0,internal_timestamp,26263,136286,1470.74746014,3.6286,3.27941,34.9105183332,1034.51277203,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
6,3674767501.0,2,377921,519093901,3718258474.19,3718258474.2,3674767501.0,0.0,internal_timestamp,26275,136275,1471.49919283,3.6275,3.27921,34.9089365882,1034.5150799,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
7,3674767951.0,2,378011,519094351,3718258474.19,3718258474.2,3674767951.0,0.0,internal_timestamp,26329,136333,1474.88198991,3.6333,3.28011,34.9118057403,1034.53184409,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
8,3674768401.0,2,378118,519094801,3718258474.19,3718258474.2,3674768401.0,0.0,internal_timestamp,26408,136420,1479.83089676,3.642,3.28118,34.9128527061,1034.55386179,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
9,3674768851.0,2,378142,519095251,3718258474.19,3718258474.2,3674768851.0,0.0,internal_timestamp,26394,136441,1478.9538753,3.6441,3.28142,34.9139139279,1034.55044256,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
10,3674769301.0,2,378213,519095701,3718258474.19,3718258474.2,3674769301.0,0.0,internal_timestamp,26449,136489,1482.39931678,3.6489,3.28213,34.9155545214,1034.56665573,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
11,3674769751.0,2,378301,519096151,3718258474.19,3718258474.2,3674769751.0,0.0,internal_timestamp,26484,136555,1484.59187044,3.6555,3.28301,34.9179284835,1034.5775317,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
12,3674770201.0,2,378313,519096601,3718258474.19,3718258474.2,3674770201.0,0.0,internal_timestamp,26447,136578,1482.274028,3.6578,3.28313,34.9180692277,1034.56684797,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
13,3674770651.0,2,378289,519097051,3718258474.19,3718258474.2,3674770651.0,0.0,internal_timestamp,26430,136553,1481.20907336,3.6553,3.28289,34.9183915613,1034.5626273,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
14,3674771101.0,2,378276,519097501,3718258474.19,3718258474.2,3674771101.0,0.0,internal_timestamp,26446,136542,1482.2113836,3.6542,3.28276,34.917516833,1034.56662284,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
15,3674771551.0,2,378181,519097951,3718258474.2,3718258474.2,3674771551.0,0.0,internal_timestamp,26409,136463,1479.89354116,3.6463,3.28181,34.9157473219,1034.55583122,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
16,3674772001.0,2,378226,519098401,3718258474.2,3718258474.2,3674772001.0,0.0,internal_timestamp,26449,136502,1482.39931678,3.6502,3.28226,34.9157226106,1034.56661019,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
17,3674772451.0,2,378237,519098851,3718258474.2,3718258474.2,3674772451.0,0.0,internal_timestamp,26488,136494,1484.84244801,3.6494,3.28237,34.9166610548,1034.57850306,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
18,3674772901.0,2,378313,519099301,3718258474.2,3718258474.21,3674772901.0,0.0,internal_timestamp,26543,136556,1488.28788948,3.6556,3.28313,34.9174164951,1034.59382635,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
19,3674773351.0,2,378316,519099751,3718258474.2,3718258474.21,3674773351.0,0.0,internal_timestamp,26542,136545,1488.22524509,3.6545,3.28316,34.9189632159,1034.59490788,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
20,3674773801.0,2,378346,519100201,3718258474.2,3718258474.21,3674773801.0,0.0,internal_timestamp,26573,136566,1490.1672212,3.6566,3.28346,34.9193400802,1034.60369596,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
21,3674774251.0,2,378366,519100651,3718258474.2,3718258474.21,3674774251.0,0.0,internal_timestamp,26593,136579,1491.42010901,3.6579,3.28366,34.9197174826,1034.60947827,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
22,3674774701.0,2,378418,519101101,3718258474.2,3718258474.21,3674774701.0,0.0,internal_timestamp,26611,136620,1492.54770804,3.662,3.28418,34.9209916393,1034.6150146,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
23,3674775151.0,2,378428,519101551,3718258474.21,3718258474.21,3674775151.0,0.0,internal_timestamp,26570,136642,1489.97928803,3.6642,3.28428,34.9211239934,1034.60320677,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
24,3674775601.0,2,378451,519102001,3718258474.21,3718258474.21,3674775601.0,0.0,internal_timestamp,26597,136661,1491.67068657,3.6661,3.28451,34.9210066714,1034.61050045,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
25,3674776051.0,2,378469,519102451,3718258474.21,3718258474.21,3674776051.0,0.0,internal_timestamp,26638,136666,1494.23910658,3.6666,3.28469,34.9213410402,1034.62230436,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
26,3674776501.0,2,378482,519102901,3718258474.22,3718258474.23,3674776501.0,0.0,internal_timestamp,26621,136680,1493.17415195,3.668,3.28482,34.9219292531,1034.61776054,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
27,3674776951.0,2,378492,519103351,3718258474.22,3718258474.23,3674776951.0,0.0,internal_timestamp,26628,136683,1493.61266268,3.6683,3.28492,34.9225798686,1034.62021232,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
28,3674777401.0,2,378502,519103801,3718258474.22,3718258474.23,3674777401.0,0.0,internal_timestamp,26657,136686,1495.42935,3.6686,3.28502,34.9225496686,1034.62835901,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
29,3674777851.0,2,378501,519104251,3718258474.22,3718258474.23,3674777851.0,0.0,internal_timestamp,26659,136687,1495.55463878,3.6687,3.28501,34.9222639335,1034.6286873,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
30,3674778301.0,2,378500,519104701,3718258474.22,3718258474.23,3674778301.0,0.0,internal_timestamp,26667,136686,1496.05579391,3.6686,3.285,34.9220035066,1034.63076175,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
31,3674778751.0,2,378503,519105151,3718258474.22,3718258474.23,3674778751.0,0.0,internal_timestamp,26699,136682,1498.06041441,3.6682,3.28503,34.9217904555,1034.63970985,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
32,3674779201.0,2,378513,519105601,3718258474.22,3718258474.23,3674779201.0,0.0,internal_timestamp,26758,136678,1501.75643345,3.6678,3.28513,34.9215709774,1034.65629678,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
33,3674779651.0,2,378477,519106051,3718258474.22,3718258474.23,3674779651.0,0.0,internal_timestamp,26730,136659,1500.00239051,3.6659,3.28477,34.9201798564,1034.64753805,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
34,3674780101.0,2,378436,519106501,3718258474.22,3718258474.23,3674780101.0,0.0,internal_timestamp,26730,136621,1500.00239051,3.6621,3.28436,34.91933456,1034.64739558,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
35,3674780551.0,2,378412,519106951,3718258474.22,3718258474.23,3674780551.0,0.0,internal_timestamp,26756,136595,1501.63114466,3.6595,3.28412,34.9184314799,1034.65440457,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
36,3674781001.0,2,378379,519107401,3718258474.22,3718258474.23,3674781001.0,0.0,internal_timestamp,26721,136576,1499.438591,3.6576,3.28379,34.917611477,1034.64411155,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
37,3674781451.0,2,378354,519107851,3718258474.22,3718258474.23,3674781451.0,0.0,internal_timestamp,26739,136550,1500.56619003,3.655,3.28354,34.9168371447,1034.64895657,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
38,3674781901.0,2,378334,519108301,3718258474.22,3718258474.23,3674781901.0,0.0,internal_timestamp,26743,136532,1500.81676759,3.6532,3.28334,34.9162440026,1034.64987018,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
39,3674782351.0,2,378339,519108751,3718258474.22,3718258474.23,3674782351.0,0.0,internal_timestamp,26741,136542,1500.69147881,3.6542,3.28339,34.9158430877,1034.64885215,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
40,3674782801.0,2,378329,519109201,3718258474.22,3718258474.23,3674782801.0,0.0,internal_timestamp,26767,136525,1502.32023296,3.6525,3.28329,34.9156478481,1034.65629347,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
41,3674783251.0,2,378285,519109651,3718258474.22,3718258474.23,3674783251.0,0.0,internal_timestamp,26739,136488,1500.56619003,3.6488,3.28285,34.9152068956,1034.64852623,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
42,3674783701.0,2,378388,519110101,3718258474.22,3718258474.23,3674783701.0,0.0,internal_timestamp,26743,136580,1500.81676759,3.658,3.28388,34.9175744635,1034.65025675,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
43,3674784151.0,2,378423,519110551,3718258474.22,3718258474.23,3674784151.0,0.0,internal_timestamp,26724,136610,1499.62652417,3.661,3.28423,34.9191414707,1034.645696,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
44,3674784601.0,2,378407,519111001,3718258474.22,3718258474.23,3674784601.0,0.0,internal_timestamp,26720,136597,1499.37594661,3.6597,3.28407,34.918742281,1034.64442828,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
45,3674785051.0,2,378484,519111451,3718258474.22,3718258474.23,3674785051.0,0.0,internal_timestamp,26754,136647,1501.50585588,3.6647,3.28484,34.9215317923,1034.65555884,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
46,3674785501.0,2,378544,519111901,3718258474.22,3718258474.23,3674785501.0,0.0,internal_timestamp,26766,136696,1502.25758857,3.6696,3.28544,34.923094182,1034.6595103,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
47,3674785951.0,2,378541,519112351,3718258474.22,3718258474.23,3674785951.0,0.0,internal_timestamp,26747,136699,1501.06734515,3.6699,3.28541,34.9230103126,1034.65402419,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
48,3674786401.0,2,378516,519112801,3718258474.22,3718258474.23,3674786401.0,0.0,internal_timestamp,26782,136668,1503.25989882,3.6668,3.28516,34.922238562,1034.66375266,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
49,3674786851.0,2,378475,519113251,3718258474.22,3718258474.23,3674786851.0,0.0,internal_timestamp,26741,136641,1500.69147881,3.6641,3.28475,34.9215014299,1034.65193671,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
50,3674787301.0,2,378462,519113701,3718258474.22,3718258474.23,3674787301.0,0.0,internal_timestamp,26746,136632,1501.00470076,3.6632,3.28462,34.9207571938,1034.65289156,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
51,3674787751.0,2,378445,519114151,3718258474.22,3718258474.23,3674787751.0,0.0,internal_timestamp,26722,136625,1499.50123539,3.6625,3.28445,34.9202255604,1034.64577509,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
52,3674788201.0,2,378396,519114601,3718258474.22,3718258474.23,3674788201.0,0.0,internal_timestamp,26695,136595,1497.80983684,3.6595,3.28396,34.9184244774,1034.63712756,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
53,3674788651.0,2,378379,519115051,3718258474.22,3718258474.23,3674788651.0,0.0,internal_timestamp,26688,136582,1497.37132611,3.6582,3.28379,34.917999677,1034.63499012,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
54,3674789101.0,2,378307,519115501,3718258474.22,3718258474.23,3674789101.0,0.0,internal_timestamp,26678,136516,1496.7448822,3.6516,3.28307,34.9167461406,1034.63207833,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
55,3674789551.0,2,378309,519115951,3718258474.22,3718258474.23,3674789551.0,0.0,internal_timestamp,26658,136526,1495.49199439,3.6526,3.28309,34.916547101,1034.62612172,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
56,3674790001.0,2,378311,519116401,3718258474.22,3718258474.23,3674790001.0,0.0,internal_timestamp,26641,136530,1494.42703976,3.653,3.28311,34.9168881904,1034.6215207,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
57,3674790451.0,2,378337,519116851,3718258474.22,3718258474.23,3674790451.0,0.0,internal_timestamp,26614,136558,1492.73564121,3.6558,3.28337,34.9178489327,1034.61424573,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
58,3674790901.0,2,378361,519117301,3718258474.22,3718258474.23,3674790901.0,0.0,internal_timestamp,26609,136580,1492.42241926,3.658,3.28361,34.918524622,1034.61305914,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
59,3674791351.0,2,378375,519117751,3718258474.23,3718258474.24,3674791351.0,0.0,internal_timestamp,26615,136594,1492.7982856,3.6594,3.28375,34.9185196196,1034.61456266,29,29,29,29,29,13,29,29,29,29,59.94358,-39.57372
