obs,time,deployment,conductivity,ctd_time,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temperature,ctdmo_seawater_pressure,ctdmo_seawater_temperature,ctdmo_seawater_conductivity,practical_salinity,density,ctdmo_seawater_pressure_qc_executed,ctdmo_seawater_pressure_qc_results,ctdmo_seawater_temperature_qc_executed,ctdmo_seawater_temperature_qc_results,ctdmo_seawater_conductivity_qc_executed,ctdmo_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3740083201.0,5,376921,584409601,3740133295.37,3740133295.43,3740083201.0,0.0,internal_timestamp,26772,135047,1502.63345491,3.5047,3.26921,34.9045218758,1034.66911327,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
1,3740083651.0,5,376846,584410051,3740133295.37,3740133295.43,3740083651.0,0.0,internal_timestamp,26785,134980,1503.44783199,3.498,3.26846,34.9022850543,1034.67194774,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
2,3740084101.0,5,376970,584410501,3740133295.38,3740133295.44,3740084101.0,0.0,internal_timestamp,26791,135099,1503.82369833,3.5099,3.2697,34.9042593396,1034.67358608,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
3,3740084551.0,5,376860,584410951,3740133295.38,3740133295.44,3740084551.0,0.0,internal_timestamp,26764,135000,1502.13229979,3.5,3.2686,34.9024874816,1034.6658852,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
4,3740085001.0,5,376759,584411401,3740133295.38,3740133295.44,3740085001.0,0.0,internal_timestamp,26789,134886,1503.69840955,3.4886,3.26759,34.9017541325,1034.67393671,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
5,3740085451.0,5,376814,584411851,3740133295.38,3740133295.44,3740085451.0,0.0,internal_timestamp,26776,134941,1502.88403248,3.4941,3.26814,34.9028830084,1034.67039505,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
6,3740085901.0,5,376803,584412301,3740133295.38,3740133295.44,3740085901.0,0.0,internal_timestamp,26776,134926,1502.88403248,3.4926,3.26803,34.9031609322,1034.67081636,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
7,3740086351.0,5,376748,584412751,3740133295.38,3740133295.44,3740086351.0,0.0,internal_timestamp,26727,134898,1499.81445734,3.4898,3.26748,34.9011038618,1034.65569361,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
8,3740086801.0,5,376775,584413201,3740133295.38,3740133295.44,3740086801.0,0.0,internal_timestamp,26720,134917,1499.37594661,3.4917,3.26775,34.9025231586,1034.65456758,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
9,3740087251.0,5,376780,584413651,3740133295.38,3740133295.44,3740087251.0,0.0,internal_timestamp,26715,134924,1499.06272465,3.4924,3.2678,34.9025329933,1034.65306363,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
10,3740087701.0,5,376711,584414101,3740133295.38,3740133295.44,3740087701.0,0.0,internal_timestamp,26738,134851,1500.50354564,3.4851,3.26711,34.9013312441,1034.65962515,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
11,3740088151.0,5,376785,584414551,3740133295.38,3740133295.44,3740088151.0,0.0,internal_timestamp,26712,134931,1498.87479148,3.4931,3.26785,34.9024806735,1034.65207767,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
12,3740088601.0,5,376777,584415001,3740133295.38,3740133295.44,3740088601.0,0.0,internal_timestamp,26673,134917,1496.43166025,3.4917,3.26777,34.9042217451,1034.64258158,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
13,3740089051.0,5,376774,584415451,3740133295.38,3740133295.44,3740089051.0,0.0,internal_timestamp,26672,134921,1496.36901586,3.4921,3.26774,34.9034731736,1034.64165614,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
14,3740089501.0,5,376850,584415901,3740133295.38,3740133295.44,3740089501.0,0.0,internal_timestamp,26623,135004,1493.29944073,3.5004,3.2685,34.9052571641,1034.62804775,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
15,3740089951.0,5,376706,584416351,3740133295.38,3740133295.44,3740089951.0,0.0,internal_timestamp,26643,134851,1494.55232854,3.4851,3.26706,34.9036898085,1034.63455287,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
16,3740090401.0,5,376597,584416801,3740133295.38,3740133295.44,3740090401.0,0.0,internal_timestamp,26608,134771,1492.35977487,3.4771,3.26597,34.9002730823,1034.62302837,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
17,3740090851.0,5,376654,584417251,3740133295.38,3740133295.44,3740090851.0,0.0,internal_timestamp,26594,134834,1491.4827534,3.4834,3.26654,34.9008265768,1034.61864451,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
18,3740091301.0,5,376683,584417701,3740133295.39,3740133295.45,3740091301.0,0.0,internal_timestamp,26576,134838,1490.35515437,3.4838,3.26683,34.9044127621,1034.61630514,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
19,3740091751.0,5,376603,584418151,3740133295.39,3740133295.45,3740091751.0,0.0,internal_timestamp,26567,134789,1489.79135486,3.4789,3.26603,34.9003587025,1034.61123057,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
20,3740092201.0,5,376628,584418601,3740133295.39,3740133295.45,3740092201.0,0.0,internal_timestamp,26535,134812,1487.78673436,3.4812,3.26628,34.90189582,1034.60305645,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
21,3740092651.0,5,376579,584419051,3740133295.39,3740133295.45,3740092651.0,0.0,internal_timestamp,26510,134784,1486.2206246,3.4784,3.26579,34.8998059708,1034.59470507,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
22,3740093101.0,5,376597,584419501,3740133295.39,3740133295.45,3740093101.0,0.0,internal_timestamp,26508,134799,1486.09533582,3.4799,3.26597,34.9004231633,1034.59442071,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
23,3740093551.0,5,376486,584419951,3740133295.39,3740133295.45,3740093551.0,0.0,internal_timestamp,26493,134703,1485.15566996,3.4703,3.26486,34.8978369464,1034.58943003,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
24,3740094001.0,5,376550,584420401,3740133295.39,3740133295.45,3740094001.0,0.0,internal_timestamp,26490,134757,1484.96773679,3.4757,3.2655,34.8998338355,1034.58942075,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
25,3740094451.0,5,376580,584420851,3740133295.39,3740133295.45,3740094451.0,0.0,internal_timestamp,26475,134796,1484.02807093,3.4796,3.2658,34.8997451104,1034.58457292,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
26,3740094901.0,5,376622,584421301,3740133295.39,3740133295.45,3740094901.0,0.0,internal_timestamp,26453,134844,1482.64989434,3.4844,3.26622,34.9003497596,1034.57816382,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
