obs,time,deployment,conductivity,ctd_time,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temperature,ctdmo_seawater_pressure,ctdmo_seawater_temperature,ctdmo_seawater_conductivity,practical_salinity,density,ctdmo_seawater_pressure_qc_executed,ctdmo_seawater_pressure_qc_results,ctdmo_seawater_temperature_qc_executed,ctdmo_seawater_temperature_qc_results,ctdmo_seawater_conductivity_qc_executed,ctdmo_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3742502401.0,5,376600,586828801,3742518048.96,3742518051.15,3742502401.0,0.0,internal_timestamp,26900,134705,1510.6519369,3.4705,3.266,34.8985325082,1034.70530961,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
1,3742502851.0,5,376441,586829251,3742518048.96,3742518051.15,3742502851.0,0.0,internal_timestamp,26898,134550,1510.52664812,3.455,3.26441,34.8960673579,1034.70490235,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
2,3742503301.0,5,376470,586829701,3742518048.97,3742518051.15,3742503301.0,0.0,internal_timestamp,26874,134588,1509.02318275,3.4588,3.2647,34.8962455173,1034.69772747,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
3,3742503751.0,5,376477,586830151,3742518048.97,3742518051.15,3742503751.0,0.0,internal_timestamp,26883,134591,1509.58698226,3.4591,3.26477,34.8964815419,1034.70042282,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
4,3742504201.0,5,376419,586830601,3742518048.97,3742518051.15,3742504201.0,0.0,internal_timestamp,26872,134544,1508.89789396,3.4544,3.26419,34.8948917671,1034.69669182,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
5,3742504651.0,5,376444,586831051,3742518048.97,3742518051.15,3742504651.0,0.0,internal_timestamp,26866,134572,1508.52202762,3.4572,3.26444,34.895092235,1034.69477067,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
6,3742505101.0,5,376361,586831501,3742518048.97,3742518051.15,3742505101.0,0.0,internal_timestamp,26849,134496,1507.45707298,3.4496,3.26361,34.8937801632,1034.68994845,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
7,3742505551.0,5,376380,586831951,3742518048.97,3742518051.15,3742505551.0,0.0,internal_timestamp,26855,134516,1507.83293933,3.4516,3.2638,34.8937398471,1034.69134728,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
8,3742506001.0,5,376371,586832401,3742518048.97,3742518051.15,3742506001.0,0.0,internal_timestamp,26851,134502,1507.58236176,3.4502,3.26371,34.8942736495,1034.6908219,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
9,3742506451.0,5,376248,586832851,3742518048.97,3742518051.15,3742506451.0,0.0,internal_timestamp,26842,134392,1507.01856225,3.4392,3.26248,34.8915461312,1034.68761284,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
10,3742506901.0,5,376429,586833301,3742518048.97,3742518051.15,3742506901.0,0.0,internal_timestamp,26840,134560,1506.89327347,3.456,3.26429,34.8953843392,1034.68779368,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
11,3742507351.0,5,376442,586833751,3742518048.97,3742518051.15,3742507351.0,0.0,internal_timestamp,26842,134577,1507.01856225,3.4577,3.26442,34.8950713846,1034.68788511,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
12,3742507801.0,5,376436,586834201,3742518048.97,3742518051.15,3742507801.0,0.0,internal_timestamp,26854,134564,1507.77029494,3.4564,3.26436,34.8953591997,1034.6916876,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
13,3742508251.0,5,376451,586834651,3742518048.97,3742518051.15,3742508251.0,0.0,internal_timestamp,26840,134588,1506.89327347,3.4588,3.26451,34.8950412642,1034.68714607,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
14,3742508701.0,5,376471,586835101,3742518048.97,3742518051.16,3742508701.0,0.0,internal_timestamp,26840,134605,1506.89327347,3.4605,3.26471,34.8956233954,1034.68737367,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
