obs,time,deployment,conductivity,ctd_time,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temperature,ctdmo_seawater_pressure,ctdmo_seawater_temperature,ctdmo_seawater_conductivity,practical_salinity,density,ctdmo_seawater_pressure_qc_executed,ctdmo_seawater_pressure_qc_results,ctdmo_seawater_temperature_qc_executed,ctdmo_seawater_temperature_qc_results,ctdmo_seawater_conductivity_qc_executed,ctdmo_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3744921601.0,5,377220,589248001,3744939670.74,3744939671.05,3744921601.0,0.0,internal_timestamp,26955,135234,1514.09737838,3.5234,3.2722,34.914606272,1034.72633973,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
1,3744922051.0,5,377168,589248451,3744939670.74,3744939671.05,3744922051.0,0.0,internal_timestamp,26942,135184,1513.2830013,3.5184,3.27168,34.9141164652,1034.72295235,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
2,3744922501.0,5,377177,589248901,3744939670.74,3744939671.05,3744922501.0,0.0,internal_timestamp,26931,135195,1512.59391301,3.5195,3.27177,34.9143643756,1034.71988156,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
3,3744922951.0,5,377236,589249351,3744939670.75,3744939671.05,3744922951.0,0.0,internal_timestamp,26928,135260,1512.40597983,3.526,3.27236,34.9145966141,1034.71833063,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
4,3744923401.0,5,377072,589249801,3744939670.75,3744939671.05,3744923401.0,0.0,internal_timestamp,26882,135115,1509.52433787,3.5115,3.27072,34.9118647855,1034.70512409,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
5,3744923851.0,5,377000,589250251,3744939670.75,3744939671.05,3744923851.0,0.0,internal_timestamp,26852,135056,1507.64500615,3.5056,3.27,34.9104761231,1034.69633462,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
6,3744924301.0,5,376960,589250701,3744939670.75,3744939671.05,3744924301.0,0.0,internal_timestamp,26835,135026,1506.58005152,3.5026,3.2696,34.9094210339,1034.69109619,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
7,3744924751.0,5,377121,589251151,3744939670.75,3744939671.05,3744924751.0,0.0,internal_timestamp,26768,135204,1502.38287735,3.5204,3.27121,34.9118188009,1034.6715821,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
8,3744925201.0,5,377107,589251601,3744939670.75,3744939671.05,3744925201.0,0.0,internal_timestamp,26757,135190,1501.69378906,3.519,3.27107,34.9119767112,1034.6687793,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
9,3744925651.0,5,377112,589252051,3744939670.75,3744939671.05,3744925651.0,0.0,internal_timestamp,26746,135202,1501.00470076,3.5202,3.27112,34.9116439728,1034.66523851,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
