obs,time,deployment,conductivity,ctd_time,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temperature,ctdmo_seawater_pressure,ctdmo_seawater_temperature,ctdmo_seawater_conductivity,practical_salinity,density,ctdmo_seawater_pressure_qc_executed,ctdmo_seawater_pressure_qc_results,ctdmo_seawater_temperature_qc_executed,ctdmo_seawater_temperature_qc_results,ctdmo_seawater_conductivity_qc_executed,ctdmo_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3752179201.0,5,375915,596505601,3752195080.73,3752195081.02,3752179201.0,0.0,internal_timestamp,25733,134321,1437.54593317,3.4321,3.25915,34.8939827463,1034.37591265,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
1,3752179651.0,5,375867,596506051,3752195080.73,3752195081.02,3752179651.0,0.0,internal_timestamp,25717,134270,1436.54362292,3.427,3.25867,34.894162968,1034.37219116,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
2,3752180101.0,5,375904,596506501,3752195080.74,3752195081.04,3752180101.0,0.0,internal_timestamp,25735,134303,1437.67122195,3.4303,3.25904,34.894515165,1034.37713847,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
3,3752180551.0,5,375955,596506951,3752195080.74,3752195081.04,3752180551.0,0.0,internal_timestamp,25787,134330,1440.92873025,3.433,3.25955,34.896107383,1034.39279066,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
4,3752181001.0,5,375964,596507401,3752195080.74,3752195081.04,3752181001.0,0.0,internal_timestamp,25834,134330,1443.87301661,3.433,3.25964,34.8957101966,1034.40581851,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
5,3752181451.0,5,375920,596507851,3752195080.74,3752195081.04,3752181451.0,0.0,internal_timestamp,25816,134319,1442.74541758,3.4319,3.2592,34.8921946913,1034.39809316,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
6,3752181901.0,5,375946,596508301,3752195080.74,3752195081.04,3752181901.0,0.0,internal_timestamp,25850,134322,1444.87532686,3.4322,3.25946,34.893912191,1034.40905311,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
7,3752182351.0,5,375923,596508751,3752195080.74,3752195081.04,3752182351.0,0.0,internal_timestamp,25818,134305,1442.87070636,3.4305,3.25923,34.8939717908,1034.40024412,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
8,3752182801.0,5,375847,596509201,3752195080.74,3752195081.04,3752182801.0,0.0,internal_timestamp,25851,134225,1444.93797125,3.4225,3.25847,34.8923528814,1034.4094039,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
9,3752183251.0,5,375896,596509651,3752195080.74,3752195081.04,3752183251.0,0.0,internal_timestamp,25862,134268,1445.62705954,3.4268,3.25896,34.8932959414,1034.41269432,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
10,3752183701.0,5,375959,596510101,3752195080.74,3752195081.04,3752183701.0,0.0,internal_timestamp,25766,134351,1439.61319805,3.4351,3.25959,34.89501736,1034.38569349,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
11,3752184151.0,5,375964,596510551,3752195080.74,3752195081.04,3752184151.0,0.0,internal_timestamp,25798,134359,1441.61781855,3.4359,3.25964,34.8937655617,1034.39368583,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
12,3752184601.0,5,376033,596511001,3752195080.74,3752195081.04,3752184601.0,0.0,internal_timestamp,25847,134362,1444.68739368,3.4362,3.26033,34.9001370379,1034.41256076,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
13,3752185051.0,5,375927,596511451,3752195080.74,3752195081.04,3752185051.0,0.0,internal_timestamp,25795,134325,1441.42988538,3.4325,3.25927,34.8930501927,1034.39272509,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
14,3752185501.0,5,376190,596511901,3752195080.74,3752195081.04,3752185501.0,0.0,internal_timestamp,25824,134560,1443.2465727,3.456,3.2619,34.8985964687,1034.40218041,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
15,3752185951.0,5,376281,596512351,3752195080.74,3752195081.04,3752185951.0,0.0,internal_timestamp,25831,134646,1443.68508344,3.4646,3.26281,34.9001112417,1034.40420853,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
