obs,time,deployment,conductivity,ctd_time,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temperature,ctdmo_seawater_pressure,ctdmo_seawater_temperature,ctdmo_seawater_conductivity,practical_salinity,density,ctdmo_seawater_pressure_qc_executed,ctdmo_seawater_pressure_qc_results,ctdmo_seawater_temperature_qc_executed,ctdmo_seawater_temperature_qc_results,ctdmo_seawater_conductivity_qc_executed,ctdmo_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3745594351.0,5,376518,589920751,3745607192.69,3745607192.72,3745594351.0,0.0,internal_timestamp,26932,134602,1512.6565574,3.4602,3.26518,34.8986743844,1034.71588186,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
1,3745594801.0,5,376480,589921201,3745607192.69,3745607192.72,3745594801.0,0.0,internal_timestamp,26918,134601,1511.77953593,3.4601,3.2648,34.894693577,1034.70880172,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
2,3745595251.0,5,376514,589921651,3745607192.69,3745607192.72,3745595251.0,0.0,internal_timestamp,26933,134628,1512.71920179,3.4628,3.26514,34.8954180192,1034.71325612,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
3,3745595701.0,5,376488,589922101,3745607192.69,3745607192.72,3745595701.0,0.0,internal_timestamp,26930,134608,1512.53126861,3.4608,3.26488,34.8945324901,1034.71198101,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
4,3745596151.0,5,376514,589922551,3745607192.69,3745607192.72,3745596151.0,0.0,internal_timestamp,26930,134626,1512.53126861,3.4626,3.26514,34.895722685,1034.71267236,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
5,3745596601.0,5,376541,589923001,3745607192.69,3745607192.72,3745596601.0,0.0,internal_timestamp,26940,134653,1513.15771252,3.4653,3.26541,34.895769468,1034.7151775,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
6,3745597051.0,5,376836,589923451,3745607192.69,3745607192.72,3745597051.0,0.0,internal_timestamp,26925,134943,1512.21804666,3.4943,3.26836,34.9006603168,1034.71084086,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
7,3745597501.0,5,376820,589923901,3745607192.69,3745607192.72,3745597501.0,0.0,internal_timestamp,26940,134925,1513.15771252,3.4925,3.2682,34.9001951856,1034.71496939,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
8,3745597951.0,5,377013,589924351,3745607192.69,3745607192.72,3745597951.0,0.0,internal_timestamp,26934,135100,1512.78184618,3.51,3.27013,34.9048252088,1034.71453112,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
9,3745598401.0,5,377099,589924801,3745607192.69,3745607192.72,3745598401.0,0.0,internal_timestamp,26914,135191,1511.52895837,3.5191,3.27099,34.9060475164,1034.70858941,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
10,3745598851.0,5,377269,589925251,3745607192.69,3745607192.72,3745598851.0,0.0,internal_timestamp,26924,135349,1512.15540227,3.5349,3.27269,34.9092355223,1034.71177766,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
