obs,time,deployment,conductivity,ctd_time,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temperature,ctdmo_seawater_pressure,ctdmo_seawater_temperature,ctdmo_seawater_conductivity,practical_salinity,density,ctdmo_seawater_pressure_qc_executed,ctdmo_seawater_pressure_qc_results,ctdmo_seawater_temperature_qc_executed,ctdmo_seawater_temperature_qc_results,ctdmo_seawater_conductivity_qc_executed,ctdmo_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3747340801.0,5,377041,591667201,3747358347.51,3747358349.02,3747340801.0,0.0,internal_timestamp,27006,135141,1517.29224229,3.5141,3.27041,34.9015863418,1034.7318266,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
1,3747341251.0,5,376861,591667651,3747358347.51,3747358349.02,3747341251.0,0.0,internal_timestamp,27032,134948,1518.92099645,3.4948,3.26861,34.8997834792,1034.7403975,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
2,3747341701.0,5,376927,591668101,3747358347.51,3747358349.02,3747341701.0,0.0,internal_timestamp,27048,135014,1519.9233067,3.5014,3.26927,34.90015698,1034.74432698,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
3,3747342151.0,5,376834,591668551,3747358347.52,3747358349.02,3747342151.0,0.0,internal_timestamp,27008,134939,1517.41753108,3.4939,3.26834,34.8982696433,1034.73253195,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
4,3747342601.0,5,376819,591669001,3747358347.52,3747358349.02,3747342601.0,0.0,internal_timestamp,27033,134912,1518.98364084,3.4912,3.26819,34.8985644403,1034.74021213,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
5,3747343051.0,5,376835,591669451,3747358347.52,3747358349.02,3747343051.0,0.0,internal_timestamp,27026,134909,1518.5451301,3.4909,3.26835,34.9010008366,1034.74018302,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
6,3747343501.0,5,376743,591669901,3747358347.52,3747358349.02,3747343501.0,0.0,internal_timestamp,27030,134831,1518.79570767,3.4831,3.26743,34.8981829726,1034.74016151,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
7,3747343951.0,5,376754,591670351,3747358347.52,3747358349.02,3747343951.0,0.0,internal_timestamp,27050,134831,1520.04859548,3.4831,3.26754,34.8988703524,1034.74636726,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
8,3747344401.0,5,376726,591670801,3747358347.52,3747358349.02,3747344401.0,0.0,internal_timestamp,27021,134816,1518.23190815,3.4816,3.26726,34.8980263668,1034.73769218,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
9,3747344851.0,5,376732,591671251,3747358347.52,3747358349.02,3747344851.0,0.0,internal_timestamp,27020,134819,1518.16926376,3.4819,3.26732,34.8984537552,1034.73770382,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
10,3747345301.0,5,376807,591671701,3747358347.52,3747358349.02,3747345301.0,0.0,internal_timestamp,27041,134882,1519.48479596,3.4882,3.26807,34.9000604477,1034.74406028,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
11,3747345751.0,5,377180,591672151,3747358347.52,3747358349.02,3747345751.0,0.0,internal_timestamp,27053,135246,1520.23652865,3.5246,3.2718,34.905547963,1034.74682174,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
12,3747346201.0,5,377067,591672601,3747358347.52,3747358349.02,3747346201.0,0.0,internal_timestamp,27050,135127,1520.04859548,3.5127,3.27067,34.9047904952,1034.7469961,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
13,3747346651.0,5,377180,591673051,3747358347.52,3747358349.02,3747346651.0,0.0,internal_timestamp,27053,135204,1520.23652865,3.5204,3.2718,34.9099857868,1034.75087778,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
14,3747347101.0,5,377220,591673501,3747358347.52,3747358349.02,3747347101.0,0.0,internal_timestamp,27029,135282,1518.73306328,3.5282,3.2722,34.9072394145,1034.74086233,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
15,3747347551.0,5,377283,591673951,3747358347.52,3747358349.02,3747347551.0,0.0,internal_timestamp,27048,135345,1519.9233067,3.5345,3.27283,34.9074766777,1034.74557208,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
16,3747348001.0,5,376967,591674401,3747358347.52,3747358349.02,3747348001.0,0.0,internal_timestamp,27044,135043,1519.67272913,3.5043,3.26967,34.9019702414,1034.74422377,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
17,3747348451.0,5,376963,591674851,3747358347.52,3747358349.02,3747348451.0,0.0,internal_timestamp,27028,135050,1518.67041889,3.505,3.26963,34.901251363,1034.73903193,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
18,3747348901.0,5,376974,591675301,3747358347.52,3747358349.03,3747348901.0,0.0,internal_timestamp,27046,135053,1519.79801792,3.5053,3.26974,34.9016833408,1034.74442915,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
19,3747349351.0,5,376863,591675751,3747368859.16,3747368859.17,3747349351.0,0.0,internal_timestamp,27046,134925,1519.79801792,3.4925,3.26863,34.9020178509,1034.7464302,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
20,3747349801.0,5,376736,591676201,3747368859.16,3747368859.17,3747349801.0,0.0,internal_timestamp,27036,134826,1519.17157401,3.4826,3.26736,34.8976929478,1034.74154432,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
21,3747350251.0,5,377009,591676651,3747368859.16,3747368859.17,3747350251.0,0.0,internal_timestamp,27016,135090,1517.9186862,3.509,3.27009,34.902862976,1034.73635475,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
22,3747350701.0,5,377113,591677101,3747368859.16,3747368859.17,3747350701.0,0.0,internal_timestamp,27035,135190,1519.10892962,3.519,3.27113,34.9040638213,1034.74132008,29,29,29,29,29,13,29,13,29,29,59.93295,-39.46549
23,3747351151.0,5,376967,591677551,3747368859.16,3747368859.17,3747351151.0,0.0,internal_timestamp,27017,135060,1517.98133059,3.506,3.26967,34.9010111414,1034.73559148,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
24,3747351601.0,5,376910,591678001,3747368859.16,3747368859.17,3747351601.0,0.0,internal_timestamp,26999,135008,1516.85373156,3.5008,3.2691,34.900290428,1034.73063269,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
25,3747352051.0,5,376902,591678451,3747368859.16,3747368859.17,3747352051.0,0.0,internal_timestamp,27006,134999,1517.29224229,3.4999,3.26902,34.9000735585,1034.73256756,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
26,3747352501.0,5,376967,591678901,3747368859.16,3747368859.17,3747352501.0,0.0,internal_timestamp,26986,135067,1516.03935448,3.5067,3.26967,34.9012329569,1034.72688909,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
27,3747352951.0,5,376833,591679351,3747368859.16,3747368859.17,3747352951.0,0.0,internal_timestamp,26962,134956,1514.53588911,3.4956,3.26833,34.8977813857,1034.71888625,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
28,3747353401.0,5,376597,591679801,3747368859.16,3747368859.17,3747353401.0,0.0,internal_timestamp,26985,134701,1515.97671009,3.4701,3.26597,34.8959588316,1034.72742712,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
29,3747353851.0,5,376287,591680251,3747368859.16,3747368859.17,3747353851.0,0.0,internal_timestamp,26965,134410,1514.72382228,3.441,3.26287,34.8904618943,1034.72137788,29,29,29,29,29,13,29,29,29,29,59.93295,-39.46549
