obs,time,deployment,conductivity,ctd_time,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temperature,ctdmo_seawater_pressure,ctdmo_seawater_temperature,ctdmo_seawater_conductivity,practical_salinity,density,ctdmo_seawater_pressure_qc_executed,ctdmo_seawater_pressure_qc_results,ctdmo_seawater_temperature_qc_executed,ctdmo_seawater_temperature_qc_results,ctdmo_seawater_conductivity_qc_executed,ctdmo_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3708633601.0,3,377444,552960001,3718312355.27,3718312355.3,3708633601.0,0.0,internal_timestamp,26779,135591,1503.07196565,3.5591,3.27444,34.9089446412,1034.66718372,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
1,3708634051.0,3,377620,552960451,3718312355.27,3718312355.3,3708634051.0,0.0,internal_timestamp,26771,135752,1502.57081052,3.5752,3.2762,34.9130745736,1034.66596841,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
2,3708634501.0,3,377633,552960901,3718312355.29,3718312355.31,3708634501.0,0.0,internal_timestamp,26771,135761,1502.57081052,3.5761,3.27633,34.9136664852,1034.66631055,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
3,3708634951.0,3,377673,552961351,3718312355.29,3718312355.31,3708634951.0,0.0,internal_timestamp,26765,135801,1502.19494418,3.5801,3.27673,34.9143737672,1034.66462136,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
4,3708635401.0,3,377725,552961801,3718312355.29,3718312355.31,3708635401.0,0.0,internal_timestamp,26750,135850,1501.25527832,3.585,3.27725,34.915832754,1034.6608504,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
5,3708635851.0,3,377731,552962251,3718312355.29,3718312355.31,3708635851.0,0.0,internal_timestamp,26739,135854,1500.56619003,3.5854,3.27731,34.9164630476,1034.65817509,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
6,3708636301.0,3,377693,552962701,3718312355.29,3718312355.31,3708636301.0,0.0,internal_timestamp,26724,135817,1499.62652417,3.5817,3.27693,34.916327784,1034.65432433,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
7,3708636751.0,3,377723,552963151,3718312355.29,3718312355.31,3708636751.0,0.0,internal_timestamp,26714,135852,1499.00008026,3.5852,3.27723,34.9165003545,1034.65115039,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
8,3708637201.0,3,377719,552963601,3718312355.29,3718312355.31,3708637201.0,0.0,internal_timestamp,26718,135848,1499.25065783,3.5848,3.27719,34.9163242728,1034.65219965,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
9,3708637651.0,3,377640,552964051,3718312355.29,3718312355.31,3708637651.0,0.0,internal_timestamp,26707,135778,1498.56156953,3.5778,3.2764,34.9146859922,1034.64875094,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
10,3708638101.0,3,377596,552964501,3718312355.29,3718312355.3,3708638101.0,0.0,internal_timestamp,26701,135750,1498.18570319,3.575,3.27596,34.9126087137,1034.64580143,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
11,3708638551.0,3,377586,552964951,3718312355.29,3718312355.3,3708638551.0,0.0,internal_timestamp,26687,135745,1497.30868172,3.5745,3.27586,34.9123844384,1034.64172746,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
12,3708639001.0,3,377589,552965401,3718312355.29,3718312355.3,3708639001.0,0.0,internal_timestamp,26669,135745,1496.18108269,3.5745,3.27589,34.913298702,1034.63734622,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
13,3708639451.0,3,377598,552965851,3718312355.29,3718312355.3,3708639451.0,0.0,internal_timestamp,26652,135761,1495.11612805,3.5761,3.27598,34.9132040569,1034.63223824,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
14,3708639901.0,3,377605,552966301,3718312355.29,3718312355.3,3708639901.0,0.0,internal_timestamp,26661,135766,1495.67992757,3.5766,3.27605,34.9132273734,1034.63473813,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
15,3708640351.0,3,377607,552966751,3718312355.29,3718312355.3,3708640351.0,0.0,internal_timestamp,26635,135775,1494.05117341,3.5775,3.27607,34.9133206544,1034.62732328,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
16,3708640801.0,3,377498,552967201,3718312355.29,3718312355.3,3708640801.0,0.0,internal_timestamp,26638,135683,1494.23910658,3.5683,3.27498,34.9100101474,1034.62682491,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
17,3708641251.0,3,377299,552967651,3718312355.29,3718312355.3,3708641251.0,0.0,internal_timestamp,26621,135504,1493.17415195,3.5504,3.27299,34.9058234532,1034.62115221,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
18,3708641701.0,3,377032,552968101,3718312355.29,3718312355.3,3708641701.0,0.0,internal_timestamp,26605,135262,1492.1718417,3.5262,3.27032,34.9001771137,1034.61546521,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
19,3708642151.0,3,376973,552968551,3718312355.29,3718312355.31,3708642151.0,0.0,internal_timestamp,26611,135198,1492.54770804,3.5198,3.26973,34.8997435515,1034.6176917,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
20,3708642601.0,3,376985,552969001,3718312355.29,3718312355.31,3708642601.0,0.0,internal_timestamp,26600,135223,1491.85861974,3.5223,3.26985,34.8988693261,1034.61354925,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
21,3708643051.0,3,376826,552969451,3718312355.29,3718312355.31,3708643051.0,0.0,internal_timestamp,26596,135037,1491.60804218,3.5037,3.26826,34.8997546965,1034.61562733,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
22,3708643501.0,3,376888,552969901,3718312355.29,3718312355.31,3708643501.0,0.0,internal_timestamp,26602,135133,1491.98390853,3.5133,3.26888,34.8967912211,1034.61370198,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
23,3708643951.0,3,376947,552970351,3718312355.29,3718312355.31,3708643951.0,0.0,internal_timestamp,26595,135186,1491.54539779,3.5186,3.26947,34.8984192305,1034.61227958,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
24,3708644401.0,3,377091,552970801,3718312355.29,3718312355.31,3708644401.0,0.0,internal_timestamp,26589,135320,1491.16953145,3.532,3.27091,34.9015546442,1034.61122719,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
25,3708644851.0,3,377163,552971251,3718312355.29,3718312355.31,3708644851.0,0.0,internal_timestamp,26583,135384,1490.79366511,3.5384,3.27163,34.9035309778,1034.61021174,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
26,3708645301.0,3,377190,552971701,3718312355.29,3718312355.31,3708645301.0,0.0,internal_timestamp,26593,135410,1491.42010901,3.541,3.2719,34.9036801098,1034.61281014,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
27,3708645751.0,3,377143,552972151,3718312355.3,3718312355.31,3708645751.0,0.0,internal_timestamp,26594,135361,1491.4827534,3.5361,3.27143,34.9032440041,1034.61341528,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
28,3708646201.0,3,377261,552972601,3718312355.3,3718312355.31,3708646201.0,0.0,internal_timestamp,26599,135468,1491.79597535,3.5468,3.27261,34.9057975835,1034.61538664,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
29,3708646651.0,3,377139,552973051,3718312355.3,3718312355.31,3708646651.0,0.0,internal_timestamp,26587,135357,1491.04424267,3.5357,3.27139,34.903408935,1034.61161535,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
30,3708647101.0,3,377038,552973501,3718312355.3,3718312355.31,3708647101.0,0.0,internal_timestamp,26606,135255,1492.23448609,3.5255,3.27038,34.9015985674,1034.61695979,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
31,3708647551.0,3,377134,552973951,3718312355.3,3718312355.31,3708647551.0,0.0,internal_timestamp,26615,135346,1492.7982856,3.5346,3.27134,34.9031077124,1034.61946245,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
32,3708648001.0,3,377185,552974401,3718312355.3,3718312355.31,3708648001.0,0.0,internal_timestamp,26641,135384,1494.42703976,3.5384,3.27185,34.9043428361,1034.62728469,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
33,3708648451.0,3,377215,552974851,3718312355.3,3718312355.31,3708648451.0,0.0,internal_timestamp,26640,135417,1494.36439536,3.5417,3.27215,34.9044502136,1034.62663802,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
34,3708648901.0,3,377218,552975301,3718312355.3,3718312355.31,3708648901.0,0.0,internal_timestamp,26654,135432,1495.24141683,3.5432,3.27218,34.9027872013,1034.62909539,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
35,3708649351.0,3,377033,552975751,3718312355.3,3718312355.31,3708649351.0,0.0,internal_timestamp,26649,135233,1494.92819488,3.5233,3.27033,34.9019936853,1034.62975363,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
36,3708649801.0,3,376960,552976201,3718312355.3,3718312355.31,3708649801.0,0.0,internal_timestamp,26658,135181,1495.49199439,3.5181,3.2696,34.8985353229,1034.63029235,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
37,3708650251.0,3,376913,552976651,3718312355.3,3718312355.31,3708650251.0,0.0,internal_timestamp,26671,135137,1496.30637147,3.5137,3.26913,34.8971960244,1034.63352033,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
38,3708650701.0,3,377102,552977101,3718312355.3,3718312355.32,3708650701.0,0.0,internal_timestamp,26686,135305,1497.24603733,3.5305,3.27102,34.9014340473,1034.63882273,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
39,3708651151.0,3,377114,552977551,3718312355.3,3718312355.32,3708651151.0,0.0,internal_timestamp,26682,135329,1496.99545977,3.5329,3.27114,34.900447957,1034.63658944,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
40,3708651601.0,3,376988,552978001,3718312355.3,3718312355.32,3708651601.0,0.0,internal_timestamp,26686,135201,1497.24603733,3.5201,3.26988,34.8988793856,1034.63822619,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
41,3708652051.0,3,377211,552978451,3718312355.3,3718312355.32,3708652051.0,0.0,internal_timestamp,26695,135413,1497.80983684,3.5413,3.27211,34.9026905409,1034.64089428,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
42,3708652501.0,3,377615,552978901,3718312355.3,3718312355.32,3708652501.0,0.0,internal_timestamp,26693,135804,1497.68454806,3.5804,3.27615,34.9094084888,1034.6402872,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
43,3708652951.0,3,377849,552979351,3718312355.3,3718312355.31,3708652951.0,0.0,internal_timestamp,26707,136032,1498.56156953,3.6032,3.27849,34.9126549026,1034.64369409,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
44,3708653401.0,3,377346,552979801,3718312355.3,3718312355.32,3708653401.0,0.0,internal_timestamp,26715,135540,1499.06272465,3.554,3.27346,34.9046836103,1034.64640082,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
45,3708653851.0,3,377256,552980251,3718312355.3,3718312355.32,3708653851.0,0.0,internal_timestamp,26719,135457,1499.31330222,3.5457,3.27256,34.9026413217,1034.64705801,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
46,3708654301.0,3,377318,552980701,3718312355.3,3718312355.32,3708654301.0,0.0,internal_timestamp,26729,135514,1499.93974612,3.5514,3.27318,34.9036714591,1034.64992566,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
47,3708654751.0,3,377157,552981151,3718312355.3,3718312355.32,3708654751.0,0.0,internal_timestamp,26741,135356,1500.69147881,3.5356,3.27157,34.9008715059,1034.65327269,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
48,3708655201.0,3,377255,552981601,3718312355.3,3718312355.32,3708655201.0,0.0,internal_timestamp,26753,135447,1501.44321149,3.5447,3.27255,34.9025240089,1034.65673435,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
49,3708655651.0,3,377369,552982051,3718312355.3,3718312355.32,3708655651.0,0.0,internal_timestamp,26772,135550,1502.63345491,3.555,3.27369,34.9045896888,1034.66233892,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
50,3708656101.0,3,377546,552982501,3718312355.3,3718312355.32,3708656101.0,0.0,internal_timestamp,26769,135717,1502.44552174,3.5717,3.27546,34.9080525676,1034.66193543,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
51,3708656551.0,3,377559,552982951,3718312355.3,3718312355.32,3708656551.0,0.0,internal_timestamp,26784,135714,1503.3851876,3.5714,3.27559,34.9094468678,1034.66731991,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
52,3708657001.0,3,377503,552983401,3718312355.3,3718312355.32,3708657001.0,0.0,internal_timestamp,26791,135665,1503.82369833,3.5665,3.27503,34.907759356,1034.66864497,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
53,3708657451.0,3,377542,552983851,3718312355.31,3718312355.32,3708657451.0,0.0,internal_timestamp,26806,135693,1504.76336419,3.5693,3.27542,34.9089653591,1034.67345937,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
54,3708657901.0,3,377553,552984301,3718312355.31,3718312355.32,3708657901.0,0.0,internal_timestamp,26814,135705,1505.26451931,3.5705,3.27553,34.9087554061,1034.67539701,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
55,3708658351.0,3,377807,552984751,3718312355.31,3718312355.32,3708658351.0,0.0,internal_timestamp,26821,135956,1505.70303005,3.5956,3.27807,34.9121659796,1034.67663419,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
56,3708658801.0,3,377779,552985201,3718312355.31,3718312355.32,3708658801.0,0.0,internal_timestamp,26831,135938,1506.32947395,3.5938,3.27779,34.9104361493,1034.67835384,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
57,3708659251.0,3,377931,552985651,3718312355.31,3718312355.32,3708659251.0,0.0,internal_timestamp,26834,136069,1506.51740713,3.6069,3.27931,34.9145367428,1034.68063342,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
58,3708659701.0,3,377519,552986101,3718312355.32,3718312355.32,3708659701.0,0.0,internal_timestamp,26841,135662,1506.95591786,3.5662,3.27519,34.908424925,1034.68337084,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
59,3708660151.0,3,377121,552986551,3718312355.32,3718312355.32,3708660151.0,0.0,internal_timestamp,26850,135293,1507.51971737,3.5293,3.27121,34.8998692921,1034.68422194,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
60,3708660601.0,3,377204,552987001,3718312355.32,3718312355.32,3708660601.0,0.0,internal_timestamp,26849,135357,1507.45707298,3.5357,3.27204,34.9029970483,1034.68552512,29,29,29,29,29,13,29,13,29,29,59.9341,-39.4673
61,3708661051.0,3,377380,552987451,3718312355.32,3718312355.32,3708661051.0,0.0,internal_timestamp,26860,135532,1508.14616128,3.5532,3.2738,34.9050679068,1034.68788692,29,29,29,29,29,13,29,13,29,29,59.9341,-39.4673
62,3708661501.0,3,377254,552987901,3718312355.32,3718312355.32,3708661501.0,0.0,internal_timestamp,26864,135382,1508.39673884,3.5382,3.27254,34.9058285234,1034.69165782,29,29,29,29,29,13,29,13,29,29,59.9341,-39.4673
63,3708661951.0,3,376721,552988351,3718312355.32,3718312355.32,3708661951.0,0.0,internal_timestamp,26876,134890,1509.14847153,3.489,3.26721,34.8941109703,1034.69253241,29,29,29,29,29,13,29,13,29,29,59.9341,-39.4673
64,3708662401.0,3,376655,552988801,3718312355.32,3718312355.32,3708662401.0,0.0,internal_timestamp,26874,134827,1509.02318275,3.4827,3.26655,34.8929839711,1034.69193363,29,29,29,29,29,13,29,13,29,29,59.9341,-39.4673
65,3708662851.0,3,376584,552989251,3718312355.32,3718312355.32,3708662851.0,0.0,internal_timestamp,26885,134764,1509.71227104,3.4764,3.26584,34.8908577805,1034.69423339,29,29,29,29,29,13,29,13,29,29,59.9341,-39.4673
66,3708663301.0,3,376610,552989701,3718312355.32,3718312355.32,3708663301.0,0.0,internal_timestamp,26880,134782,1509.39904909,3.4782,3.2661,34.8922026492,1034.69362922,29,29,29,29,29,13,29,13,29,29,59.9341,-39.4673
67,3708663751.0,3,376549,552990151,3718312355.32,3718312355.32,3708663751.0,0.0,internal_timestamp,26886,134720,1509.77491543,3.472,3.26549,34.891314877,1034.69547101,29,29,29,29,29,13,29,13,29,29,59.9341,-39.4673
68,3708664201.0,3,376591,552990601,3718312355.32,3718312355.32,3708664201.0,0.0,internal_timestamp,26893,134768,1510.21342617,3.4768,3.26591,34.8910190822,1034.69657284,29,29,29,29,29,13,29,13,29,29,59.9341,-39.4673
69,3708664651.0,3,376433,552991051,3718312355.32,3718312355.32,3708664651.0,0.0,internal_timestamp,26904,134607,1510.90251446,3.4607,3.26433,34.8889018271,1034.70020452,29,29,29,29,29,13,29,13,29,29,59.9341,-39.4673
70,3708665101.0,3,376501,552991501,3718312355.32,3718312355.32,3708665101.0,0.0,internal_timestamp,26899,134684,1510.58929251,3.4684,3.26501,34.8890069293,1034.69782912,29,29,29,29,29,13,29,13,29,29,59.9341,-39.4673
71,3708665551.0,3,376513,552991951,3718312355.32,3718312355.32,3708665551.0,0.0,internal_timestamp,26892,134694,1510.15078178,3.4694,3.26513,34.8895947207,1034.69617192,29,29,29,29,29,13,29,13,29,29,59.9341,-39.4673
72,3708666001.0,3,376686,552992401,3718312355.32,3718312355.32,3708666001.0,0.0,internal_timestamp,26912,134854,1511.40366959,3.4854,3.26686,34.8926366484,1034.70206252,29,29,29,29,29,13,29,13,29,29,59.9341,-39.4673
73,3708666451.0,3,376651,552992851,3718312355.32,3718312355.32,3708666451.0,0.0,internal_timestamp,26902,134817,1510.77722568,3.4817,3.26651,34.8926958783,1034.69977665,29,29,29,29,29,13,29,13,29,29,59.9341,-39.4673
74,3708666901.0,3,376724,552993301,3718312355.32,3718312355.32,3708666901.0,0.0,internal_timestamp,26904,134886,1510.90251446,3.4886,3.26724,34.8940211656,1034.70044965,29,29,29,29,29,13,29,13,29,29,59.9341,-39.4673
75,3708667351.0,3,376715,552993751,3718312355.32,3718312355.32,3708667351.0,0.0,internal_timestamp,26895,134881,1510.33871495,3.4881,3.26715,34.8937589265,1034.69776138,29,29,29,29,29,13,29,13,29,29,59.9341,-39.4673
76,3708667801.0,3,376698,552994201,3718312355.32,3718312355.32,3708667801.0,0.0,internal_timestamp,26898,134864,1510.52664812,3.4864,3.26698,34.893441218,1034.69859216,29,29,29,29,29,13,29,13,29,29,59.9341,-39.4673
77,3708668251.0,3,376710,552994651,3718312355.32,3718312355.32,3708668251.0,0.0,internal_timestamp,26890,134877,1510.02549299,3.4877,3.2671,34.8937424169,1034.69638588,29,29,29,29,29,13,29,13,29,29,59.9341,-39.4673
78,3708668701.0,3,376836,552995101,3718312355.32,3718312355.32,3708668701.0,0.0,internal_timestamp,26893,134996,1510.21342617,3.4996,3.26836,34.8960520333,1034.69743711,29,29,29,29,29,13,29,13,29,29,59.9341,-39.4673
79,3708669151.0,3,376711,552995551,3718312355.32,3718312355.32,3708669151.0,0.0,internal_timestamp,26885,134881,1509.71227104,3.4881,3.26711,34.8935937809,1034.69479825,29,29,29,29,29,13,29,13,29,29,59.9341,-39.4673
80,3708669601.0,3,376847,552996001,3718312355.32,3718312355.32,3708669601.0,0.0,internal_timestamp,26887,134984,1509.83755982,3.4984,3.26847,34.8988140139,1034.69806885,29,29,29,29,29,13,29,13,29,29,59.9341,-39.4673
81,3708670051.0,3,376798,552996451,3718312355.32,3718312355.32,3708670051.0,0.0,internal_timestamp,26874,134951,1509.02318275,3.4951,3.26798,34.8968804144,1034.69331429,29,29,29,29,29,13,29,13,29,29,59.9341,-39.4673
82,3708670501.0,3,376603,552996901,3718312355.32,3718312355.32,3708670501.0,0.0,internal_timestamp,26877,134787,1509.21111592,3.4787,3.26603,34.890934789,1034.69171574,29,29,29,29,29,13,29,13,29,29,59.9341,-39.4673
83,3708670951.0,3,376575,552997351,3718312355.32,3718312355.33,3708670951.0,0.0,internal_timestamp,26879,134754,1509.3364047,3.4754,3.26575,34.891030723,1034.69280432,29,29,29,29,29,13,29,13,29,29,59.9341,-39.4673
84,3708671401.0,3,376614,552997801,3718312355.32,3718312355.33,3708671401.0,0.0,internal_timestamp,26875,134782,1509.08582714,3.4782,3.26614,34.8928336518,1034.69270797,29,29,29,29,29,13,29,13,29,29,59.9341,-39.4673
85,3708671851.0,3,376639,552998251,3718312355.32,3718312355.33,3708671851.0,0.0,internal_timestamp,26853,134818,1507.70765055,3.4818,3.26639,34.8926846977,1034.68586979,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
86,3708672301.0,3,376582,552998701,3718312355.32,3718312355.33,3708672301.0,0.0,internal_timestamp,26863,134766,1508.33409445,3.4766,3.26582,34.891091737,1034.68815598,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
87,3708672751.0,3,376622,552999151,3718312355.32,3718312355.33,3708672751.0,0.0,internal_timestamp,26850,134806,1507.51971737,3.4806,3.26622,34.8920245862,1034.68466363,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
88,3708673201.0,3,376672,552999601,3718312355.32,3718312355.33,3708673201.0,0.0,internal_timestamp,26836,134857,1506.64269591,3.4857,3.26672,34.8930146127,1034.68078386,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
89,3708673651.0,3,376716,553000051,3718312355.32,3718312355.33,3708673651.0,0.0,internal_timestamp,26831,134902,1506.32947395,3.4902,3.26716,34.893645429,1034.67925334,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
90,3708674101.0,3,376685,553000501,3718312355.32,3718312355.33,3708674101.0,0.0,internal_timestamp,26826,134871,1506.016252,3.4871,3.26685,34.8933912372,1034.6780565,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
91,3708674551.0,3,376687,553000951,3718312355.32,3718312355.33,3708674551.0,0.0,internal_timestamp,26809,134876,1504.95129736,3.4876,3.26687,34.8936285429,1034.67335788,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
92,3708675001.0,3,376870,553001401,3718312355.32,3718312355.33,3708675001.0,0.0,internal_timestamp,26813,135048,1505.20187492,3.5048,3.2687,34.8970812856,1034.67487375,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
93,3708675451.0,3,376730,553001851,3718312355.33,3718312355.33,3708675451.0,0.0,internal_timestamp,26799,134919,1504.32485346,3.4919,3.2673,34.8945069636,1034.67063209,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
94,3708675901.0,3,376659,553002301,3718312355.33,3718312355.33,3708675901.0,0.0,internal_timestamp,26784,134857,1503.3851876,3.4857,3.26659,34.8930838492,1034.66610262,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
