obs,time,deployment,conductivity,ctd_time,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temperature,ctdmo_seawater_pressure,ctdmo_seawater_temperature,ctdmo_seawater_conductivity,practical_salinity,density,ctdmo_seawater_pressure_qc_executed,ctdmo_seawater_pressure_qc_results,ctdmo_seawater_temperature_qc_executed,ctdmo_seawater_temperature_qc_results,ctdmo_seawater_conductivity_qc_executed,ctdmo_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3711052801.0,4,377870,555379201,3718051866.61,3718051866.69,3711052801.0,0.0,internal_timestamp,27018,135857,1518.04397498,3.5857,3.2787,34.9239892545,1034.74305329,29,29,29,29,29,13,29,13,29,29,59.9462,-39.4737
1,3711053251.0,4,377842,555379651,3718051866.61,3718051866.69,3711053251.0,0.0,internal_timestamp,27003,135834,1517.10430912,3.5834,3.27842,34.9235617388,1034.73878491,29,29,29,29,29,13,29,13,29,29,59.9462,-39.4737
2,3711053701.0,4,377814,555380101,3718051866.62,3718051866.7,3711053701.0,0.0,internal_timestamp,27011,135803,1517.60546425,3.5803,3.27814,34.9232667735,1034.74124227,29,29,29,29,29,13,29,13,29,29,59.9462,-39.4737
3,3711054151.0,4,377758,555380551,3718051866.62,3718051866.7,3711054151.0,0.0,internal_timestamp,27002,135745,1517.04166473,3.5745,3.27758,34.9230282229,1034.73929902,29,29,29,29,29,13,29,13,29,29,59.9462,-39.4737
4,3711054601.0,4,377767,555381001,3718051866.62,3718051866.7,3711054601.0,0.0,internal_timestamp,27002,135763,1517.04166473,3.5763,3.27767,34.9221947683,1034.73839881,29,29,29,29,29,13,29,13,29,29,59.9462,-39.4737
5,3711055051.0,4,377776,555381451,3718051866.62,3718051866.7,3711055051.0,0.0,internal_timestamp,27006,135753,1517.29224229,3.5753,3.27776,34.9241947691,1034.74123822,29,29,29,29,29,13,29,13,29,29,59.9462,-39.4737
6,3711055501.0,4,377800,555381901,3718051866.62,3718051866.7,3711055501.0,0.0,internal_timestamp,26995,135779,1516.603154,3.5779,3.278,34.9246363906,1034.73811497,29,29,29,29,29,13,29,13,29,29,59.9462,-39.4737
7,3711055951.0,4,377890,555382351,3718051866.62,3718051866.7,3711055951.0,0.0,internal_timestamp,26999,135854,1516.85373156,3.5854,3.2789,34.9272664488,1034.74028731,29,29,29,29,29,13,29,13,29,29,59.9462,-39.4737
8,3711056401.0,4,377901,555382801,3718051866.62,3718051866.7,3711056401.0,0.0,internal_timestamp,27001,135868,1516.97902034,3.5868,3.27901,34.9270305277,1034.74047697,29,29,29,29,29,13,29,13,29,29,59.9462,-39.4737
9,3711056851.0,4,377893,555383251,3718051866.62,3718051866.7,3711056851.0,0.0,internal_timestamp,27003,135854,1517.10430912,3.5854,3.27893,34.9274983928,1034.74160197,29,29,29,29,29,13,29,13,29,29,59.9462,-39.4737
