obs,time,deployment,conductivity,ctd_time,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temperature,ctdmo_seawater_pressure,ctdmo_seawater_temperature,ctdmo_seawater_conductivity,practical_salinity,density,ctdmo_seawater_pressure_qc_executed,ctdmo_seawater_pressure_qc_results,ctdmo_seawater_temperature_qc_executed,ctdmo_seawater_temperature_qc_results,ctdmo_seawater_conductivity_qc_executed,ctdmo_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3700187551.0,3,376907,544513951,3718311989.17,3718311989.2,3700187551.0,0.0,internal_timestamp,25434,135430,1418.8152604,3.543,3.26907,34.9040412704,1034.28414612,29,29,29,29,29,29,29,29,29,29,59.9341,-39.4673
1,3700188001.0,3,376962,544514401,3718311989.17,3718311989.2,3700188001.0,0.0,internal_timestamp,25488,135472,1422.19805749,3.5472,3.26962,34.9044501085,1034.29922951,29,29,29,29,29,29,29,29,29,29,59.9341,-39.4673
2,3700188451.0,3,376993,544514851,3718311989.17,3718311989.2,3700188451.0,0.0,internal_timestamp,25531,135490,1424.89176628,3.549,3.26993,34.9048881365,1034.31153445,29,29,29,29,29,29,29,29,29,29,59.9341,-39.4673
3,3700188901.0,3,376889,544515301,3718311989.17,3718311989.2,3700188901.0,0.0,internal_timestamp,25442,135411,1419.31641552,3.5411,3.26889,34.9036611533,1034.2863722,29,29,29,29,29,29,29,29,29,29,59.9341,-39.4673
4,3700189351.0,3,376746,544515751,3718311989.17,3718311989.2,3700189351.0,0.0,internal_timestamp,25494,135268,1422.57392383,3.5268,3.26746,34.9001599007,1034.30029237,29,29,29,29,29,29,29,29,29,29,59.9341,-39.4673
5,3700189801.0,3,376679,544516201,3718311989.17,3718311989.2,3700189801.0,0.0,internal_timestamp,25437,135223,1419.00319357,3.5223,3.26679,34.8987335423,1034.28359531,29,29,29,29,29,29,29,29,29,29,59.9341,-39.4673
6,3700190251.0,3,376457,544516651,3718311989.17,3718311989.2,3700190251.0,0.0,internal_timestamp,25284,135045,1409.41860182,3.5045,3.26457,34.8959407997,1034.24034406,29,29,29,29,29,29,29,29,29,29,59.9341,-39.4673
7,3700190701.0,3,376463,544517101,3718311989.17,3718311989.2,3700190701.0,0.0,internal_timestamp,25246,135061,1407.03811498,3.5061,3.26463,34.8961510124,1034.22950761,29,29,29,29,29,29,29,29,29,29,59.9341,-39.4673
8,3700191151.0,3,376469,544517551,3718311989.17,3718311989.2,3700191151.0,0.0,internal_timestamp,25307,135057,1410.85942281,3.5057,3.26469,34.8953794344,1034.24627255,29,29,29,29,29,29,29,29,29,29,59.9341,-39.4673
9,3700191601.0,3,376528,544518001,3718311989.17,3718311989.2,3700191601.0,0.0,internal_timestamp,25289,135115,1409.73182378,3.5115,3.26528,34.8968256655,1034.24152614,29,29,29,29,29,29,29,29,29,29,59.9341,-39.4673
10,3700192051.0,3,376578,544518451,3718311989.17,3718311989.2,3700192051.0,0.0,internal_timestamp,25282,135151,1409.29331304,3.5151,3.26578,34.8991837595,1034.24091242,29,29,29,29,29,29,29,29,29,29,59.9341,-39.4673
11,3700192501.0,3,376710,544518901,3718311989.17,3718311989.2,3700192501.0,0.0,internal_timestamp,25309,135285,1410.98471159,3.5285,3.2671,34.8998635092,1034.24732309,29,29,29,29,29,29,29,29,29,29,59.9341,-39.4673
12,3700192951.0,3,376872,544519351,3718311989.17,3718311989.2,3700192951.0,0.0,internal_timestamp,25408,135405,1417.18650625,3.5405,3.26872,34.9033372359,1034.27654837,29,29,29,29,29,29,29,29,29,29,59.9341,-39.4673
13,3700193401.0,3,377020,544519801,3718311989.17,3718311989.2,3700193401.0,0.0,internal_timestamp,25594,135493,1428.83836288,3.5493,3.2702,34.9058127059,1034.33009672,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
14,3700193851.0,3,377190,544520251,3718311989.17,3718311989.2,3700193851.0,0.0,internal_timestamp,25666,135631,1433.348759,3.5631,3.2719,34.9091729595,1034.3513104,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
15,3700194301.0,3,377318,544520701,3718311989.17,3718311989.21,3700194301.0,0.0,internal_timestamp,25691,135763,1434.91486876,3.5763,3.27318,34.9096420558,1034.35699471,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
16,3700194751.0,3,377303,544521151,3718311989.17,3718311989.21,3700194751.0,0.0,internal_timestamp,25667,135735,1433.41140339,3.5735,3.27303,34.9115683494,1034.35207719,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
17,3700195201.0,3,377467,544521601,3718311989.17,3718311989.21,3700195201.0,0.0,internal_timestamp,25735,135835,1437.67122195,3.5835,3.27467,34.9183496797,1034.37534609,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
18,3700195651.0,3,377682,544522051,3718311989.17,3718311989.21,3700195651.0,0.0,internal_timestamp,25804,136038,1441.99368489,3.6038,3.27682,34.9202630317,1034.39367763,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
19,3700196101.0,3,377716,544522501,3718311989.17,3718311989.21,3700196101.0,0.0,internal_timestamp,25844,136062,1444.49946051,3.6062,3.27716,34.920515596,1034.40489395,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
