obs,time,deployment,conductivity,ctd_time,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temperature,ctdmo_seawater_pressure,ctdmo_seawater_temperature,ctdmo_seawater_conductivity,practical_salinity,density,ctdmo_seawater_pressure_qc_executed,ctdmo_seawater_pressure_qc_results,ctdmo_seawater_temperature_qc_executed,ctdmo_seawater_temperature_qc_results,ctdmo_seawater_conductivity_qc_executed,ctdmo_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3703795201.0,3,377119,548121601,3718312115.51,3718312115.67,3703795201.0,0.0,internal_timestamp,25715,135522,1436.41833414,3.5522,3.27119,34.9107336474,1034.36790251,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
1,3703795651.0,3,377143,548122051,3718312115.51,3718312115.67,3703795651.0,0.0,internal_timestamp,25711,135555,1436.16775657,3.5555,3.27143,34.9102207801,1034.36592119,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
2,3703796101.0,3,377223,548122501,3718312115.52,3718312115.67,3703796101.0,0.0,internal_timestamp,25714,135631,1436.35568975,3.5631,3.27223,34.9115954287,1034.36683015,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
3,3703796551.0,3,377255,548122951,3718312115.52,3718312115.67,3703796551.0,0.0,internal_timestamp,25710,135668,1436.10511218,3.5668,3.27255,34.9116094851,1034.36520871,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
4,3703797001.0,3,377262,548123401,3718312115.52,3718312115.67,3703797001.0,0.0,internal_timestamp,25751,135652,1438.67353219,3.5652,3.27262,34.9128537795,1034.37803151,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
5,3703797451.0,3,377247,548123851,3718312115.52,3718312115.67,3703797451.0,0.0,internal_timestamp,25693,135669,1435.04015754,3.5669,3.27247,34.9110837914,1034.35995992,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
6,3703797901.0,3,377327,548124301,3718312115.52,3718312115.67,3703797901.0,0.0,internal_timestamp,25743,135725,1438.17237707,3.5725,3.27327,34.9131057408,1034.37497739,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
7,3703798351.0,3,377414,548124751,3718312115.52,3718312115.67,3703798351.0,0.0,internal_timestamp,25783,135786,1440.67815269,3.5786,3.27414,34.9157411712,1034.38757103,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
8,3703798801.0,3,377394,548125201,3718312115.52,3718312115.67,3703798801.0,0.0,internal_timestamp,25764,135769,1439.48790927,3.5769,3.27394,34.915755559,1034.38242271,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
9,3703799251.0,3,377524,548125651,3718312115.52,3718312115.67,3703799251.0,0.0,internal_timestamp,25774,135888,1440.11435318,3.5888,3.27524,34.9182989101,1034.38565237,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
10,3703799701.0,3,377467,548126101,3718312115.52,3718312115.67,3703799701.0,0.0,internal_timestamp,25716,135859,1436.48097853,3.5859,3.27467,34.916405416,1034.3681062,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
11,3703800151.0,3,377746,548126551,3718312115.52,3718312115.67,3703800151.0,0.0,internal_timestamp,25720,136105,1436.73155609,3.6105,3.27746,34.9233920359,1034.37141004,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
12,3703800601.0,3,377590,548127001,3718312115.52,3718312115.67,3703800601.0,0.0,internal_timestamp,25701,135977,1435.54131267,3.5977,3.2759,34.9190007241,1034.36429964,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
13,3703801051.0,3,377555,548127451,3718312115.52,3718312115.67,3703801051.0,0.0,internal_timestamp,25724,135955,1436.98213365,3.5955,3.27555,34.9164556602,1034.36912009,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
