obs,time,deployment,conductivity,ctd_time,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temperature,ctdmo_seawater_pressure,ctdmo_seawater_temperature,ctdmo_seawater_conductivity,practical_salinity,density,ctdmo_seawater_pressure_qc_executed,ctdmo_seawater_pressure_qc_results,ctdmo_seawater_temperature_qc_executed,ctdmo_seawater_temperature_qc_results,ctdmo_seawater_conductivity_qc_executed,ctdmo_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3686860801.0,3,377351,531187201,3718311574.47,3718311574.48,3686860801.0,0.0,internal_timestamp,26108,135683,1461.03757961,3.5683,3.27351,34.9090279243,1034.4758456,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
1,3686861251.0,3,377332,531187651,3718311574.47,3718311574.48,3686861251.0,0.0,internal_timestamp,26122,135659,1461.91460108,3.5659,3.27332,34.9088725198,1034.48001707,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
2,3686861701.0,3,377451,531188101,3718311574.47,3718311574.48,3686861701.0,0.0,internal_timestamp,26116,135775,1461.53873473,3.5775,3.27451,34.9109293137,1034.47836306,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
3,3686862151.0,3,377687,531188551,3718311574.47,3718311574.48,3686862151.0,0.0,internal_timestamp,26105,135985,1460.84964644,3.5985,3.27687,34.9170904086,1034.4772408,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
4,3686862601.0,3,377819,531189001,3718311574.47,3718311574.48,3686862601.0,0.0,internal_timestamp,26133,136093,1462.60368937,3.6093,3.27819,34.9204690179,1034.48636666,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
5,3686863051.0,3,377857,531189451,3718311574.48,3718311574.48,3686863051.0,0.0,internal_timestamp,26147,136124,1463.48071084,3.6124,3.27857,34.921266125,1034.49054006,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
6,3686863501.0,3,377899,531189901,3718311574.48,3718311574.48,3686863501.0,0.0,internal_timestamp,26164,136155,1464.54566548,3.6155,3.27899,34.9224440965,1034.4958625,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
7,3686863951.0,3,377920,531190351,3718311574.48,3718311574.48,3686863951.0,0.0,internal_timestamp,26140,136163,1463.04220011,3.6163,3.2792,34.924834857,1034.4908295,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
8,3686864401.0,3,377892,531190801,3718311574.48,3718311574.48,3686864401.0,0.0,internal_timestamp,26171,136132,1464.98417621,3.6132,3.27892,34.9238257186,1034.49924376,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
9,3686864851.0,3,377906,531191251,3718311574.48,3718311574.48,3686864851.0,0.0,internal_timestamp,26138,136145,1462.91691133,3.6145,3.27906,34.9251381438,1034.4907452,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
