obs,time,deployment,conductivity,ctd_time,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temperature,ctdmo_seawater_pressure,ctdmo_seawater_temperature,ctdmo_seawater_conductivity,practical_salinity,density,ctdmo_seawater_pressure_qc_executed,ctdmo_seawater_pressure_qc_results,ctdmo_seawater_temperature_qc_executed,ctdmo_seawater_temperature_qc_results,ctdmo_seawater_conductivity_qc_executed,ctdmo_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3701949301.0,3,378082,546275701,3718311989.78,3718311989.87,3701949301.0,0.0,internal_timestamp,26381,136242,1478.13949822,3.6242,3.28082,34.9282133125,1034.56070013,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
1,3701949751.0,3,378088,546276151,3718311989.78,3718311989.87,3701949751.0,0.0,internal_timestamp,26394,136249,1478.9538753,3.6249,3.28088,34.9277819286,1034.56394911,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
2,3701950201.0,3,378085,546276601,3718311989.78,3718311989.87,3701950201.0,0.0,internal_timestamp,26389,136245,1478.64065335,3.6245,3.28085,34.9280038685,1034.56276132,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
3,3701950651.0,3,378082,546277051,3718311989.78,3718311989.87,3701950651.0,0.0,internal_timestamp,26377,136245,1477.88892066,3.6245,3.28082,34.9280206479,1034.55937471,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
4,3701951101.0,3,378039,546277501,3718311989.78,3718311989.87,3701951101.0,0.0,internal_timestamp,26365,136213,1477.13718797,3.6213,3.28039,34.9266752115,1034.55535411,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
5,3701951551.0,3,378016,546277951,3718311989.78,3718311989.87,3701951551.0,0.0,internal_timestamp,26337,136199,1475.38314504,3.6199,3.28016,34.9262962044,1034.54731371,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
6,3701952001.0,3,378007,546278401,3718311989.78,3718311989.87,3701952001.0,0.0,internal_timestamp,26325,136195,1474.63141235,3.6195,3.28007,34.9260241957,1034.54375443,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
7,3701952451.0,3,377991,546278851,3718311989.78,3718311989.87,3701952451.0,0.0,internal_timestamp,26342,136171,1475.69636699,3.6171,3.27991,34.9261341747,1034.54898422,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
8,3701952901.0,3,377971,546279301,3718311989.78,3718311989.87,3701952901.0,0.0,internal_timestamp,26346,136168,1475.94694455,3.6168,3.27971,34.9239557593,1034.54844775,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
9,3701953351.0,3,377954,546279751,3718311989.78,3718311989.87,3701953351.0,0.0,internal_timestamp,26317,136148,1474.13025723,3.6148,3.27954,34.9249526177,1034.54128552,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
